# T(k1,k2,k3) at z_eff=1.483 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
8.812879544549474531e-01 1.734319545603026091e-01 1.734319545603026091e-01
7.727601475223691008e-01 7.727601475223691008e-01 7.727601475223691008e-01
7.727601475223691008e-01 7.727601475223691008e-01 6.715695720688390491e-01
7.727601475223691008e-01 7.727601475223691008e-01 5.805100554943243285e-01
7.727601475223691008e-01 7.727601475223691008e-01 5.009937972951590268e-01
7.727601475223691008e-01 6.715695720688390491e-01 6.715695720688390491e-01
7.727601475223691008e-01 6.715695720688390491e-01 5.805100554943243285e-01
7.727601475223691008e-01 6.715695720688390491e-01 5.009937972951590268e-01
7.727601475223691008e-01 6.715695720688390491e-01 4.342067149960613937e-01
7.727601475223691008e-01 5.805100554943243285e-01 5.805100554943243285e-01
7.727601475223691008e-01 5.805100554943243285e-01 5.009937972951590268e-01
7.727601475223691008e-01 5.805100554943243285e-01 4.342067149960613937e-01
7.727601475223691008e-01 5.805100554943243285e-01 3.776872742907519398e-01
7.727601475223691008e-01 5.009937972951590268e-01 5.009937972951590268e-01
7.727601475223691008e-01 5.009937972951590268e-01 4.342067149960613937e-01
7.727601475223691008e-01 5.009937972951590268e-01 3.776872742907519398e-01
7.727601475223691008e-01 5.009937972951590268e-01 3.308007881542259221e-01
7.727601475223691008e-01 4.342067149960613937e-01 4.342067149960613937e-01
7.727601475223691008e-01 4.342067149960613937e-01 3.776872742907519398e-01
7.727601475223691008e-01 4.342067149960613937e-01 3.308007881542259221e-01
7.727601475223691008e-01 4.342067149960613937e-01 2.959978430939056993e-01
7.727601475223691008e-01 3.776872742907519398e-01 3.776872742907519398e-01
7.727601475223691008e-01 3.776872742907519398e-01 3.308007881542259221e-01
7.727601475223691008e-01 3.776872742907519398e-01 2.959978430939056993e-01
7.727601475223691008e-01 3.776872742907519398e-01 2.678956020125730086e-01
7.727601475223691008e-01 3.308007881542259221e-01 3.308007881542259221e-01
7.727601475223691008e-01 3.308007881542259221e-01 2.959978430939056993e-01
7.727601475223691008e-01 3.308007881542259221e-01 2.678956020125730086e-01
7.727601475223691008e-01 3.308007881542259221e-01 2.466876144783130831e-01
7.727601475223691008e-01 2.959978430939056993e-01 2.959978430939056993e-01
7.727601475223691008e-01 2.959978430939056993e-01 2.678956020125730086e-01
7.727601475223691008e-01 2.959978430939056993e-01 2.466876144783130831e-01
7.727601475223691008e-01 2.959978430939056993e-01 2.295359735938851953e-01
7.727601475223691008e-01 2.678956020125730086e-01 2.678956020125730086e-01
7.727601475223691008e-01 2.678956020125730086e-01 2.466876144783130831e-01
7.727601475223691008e-01 2.678956020125730086e-01 2.295359735938851953e-01
7.727601475223691008e-01 2.678956020125730086e-01 2.147967943680974268e-01
7.727601475223691008e-01 2.466876144783130831e-01 2.466876144783130831e-01
7.727601475223691008e-01 2.466876144783130831e-01 2.295359735938851953e-01
7.727601475223691008e-01 2.466876144783130831e-01 2.147967943680974268e-01
7.727601475223691008e-01 2.466876144783130831e-01 2.008305591185285677e-01
7.727601475223691008e-01 2.295359735938851953e-01 2.295359735938851953e-01
7.727601475223691008e-01 2.295359735938851953e-01 2.147967943680974268e-01
7.727601475223691008e-01 2.295359735938851953e-01 2.008305591185285677e-01
7.727601475223691008e-01 2.295359735938851953e-01 1.870808351794090441e-01
7.727601475223691008e-01 2.147967943680974268e-01 2.147967943680974268e-01
7.727601475223691008e-01 2.147967943680974268e-01 2.008305591185285677e-01
7.727601475223691008e-01 2.147967943680974268e-01 1.870808351794090441e-01
7.727601475223691008e-01 2.147967943680974268e-01 1.734319545603026091e-01
7.727601475223691008e-01 2.008305591185285677e-01 2.008305591185285677e-01
7.727601475223691008e-01 2.008305591185285677e-01 1.870808351794090441e-01
7.727601475223691008e-01 2.008305591185285677e-01 1.734319545603026091e-01
7.727601475223691008e-01 1.870808351794090441e-01 1.870808351794090441e-01
7.727601475223691008e-01 1.870808351794090441e-01 1.734319545603026091e-01
7.727601475223691008e-01 1.734319545603026091e-01 1.734319545603026091e-01
6.715695720688390491e-01 6.715695720688390491e-01 6.715695720688390491e-01
6.715695720688390491e-01 6.715695720688390491e-01 5.805100554943243285e-01
6.715695720688390491e-01 6.715695720688390491e-01 5.009937972951590268e-01
6.715695720688390491e-01 6.715695720688390491e-01 4.342067149960613937e-01
6.715695720688390491e-01 6.715695720688390491e-01 3.776872742907519398e-01
6.715695720688390491e-01 5.805100554943243285e-01 5.805100554943243285e-01
6.715695720688390491e-01 5.805100554943243285e-01 5.009937972951590268e-01
6.715695720688390491e-01 5.805100554943243285e-01 4.342067149960613937e-01
6.715695720688390491e-01 5.805100554943243285e-01 3.776872742907519398e-01
6.715695720688390491e-01 5.805100554943243285e-01 3.308007881542259221e-01
6.715695720688390491e-01 5.009937972951590268e-01 5.009937972951590268e-01
6.715695720688390491e-01 5.009937972951590268e-01 4.342067149960613937e-01
6.715695720688390491e-01 5.009937972951590268e-01 3.776872742907519398e-01
6.715695720688390491e-01 5.009937972951590268e-01 3.308007881542259221e-01
6.715695720688390491e-01 5.009937972951590268e-01 2.959978430939056993e-01
6.715695720688390491e-01 4.342067149960613937e-01 4.342067149960613937e-01
6.715695720688390491e-01 4.342067149960613937e-01 3.776872742907519398e-01
6.715695720688390491e-01 4.342067149960613937e-01 3.308007881542259221e-01
6.715695720688390491e-01 4.342067149960613937e-01 2.959978430939056993e-01
6.715695720688390491e-01 4.342067149960613937e-01 2.678956020125730086e-01
6.715695720688390491e-01 3.776872742907519398e-01 3.776872742907519398e-01
6.715695720688390491e-01 3.776872742907519398e-01 3.308007881542259221e-01
6.715695720688390491e-01 3.776872742907519398e-01 2.959978430939056993e-01
6.715695720688390491e-01 3.776872742907519398e-01 2.678956020125730086e-01
6.715695720688390491e-01 3.776872742907519398e-01 2.466876144783130831e-01
6.715695720688390491e-01 3.308007881542259221e-01 3.308007881542259221e-01
6.715695720688390491e-01 3.308007881542259221e-01 2.959978430939056993e-01
6.715695720688390491e-01 3.308007881542259221e-01 2.678956020125730086e-01
6.715695720688390491e-01 3.308007881542259221e-01 2.466876144783130831e-01
6.715695720688390491e-01 3.308007881542259221e-01 2.295359735938851953e-01
6.715695720688390491e-01 2.959978430939056993e-01 2.959978430939056993e-01
6.715695720688390491e-01 2.959978430939056993e-01 2.678956020125730086e-01
6.715695720688390491e-01 2.959978430939056993e-01 2.466876144783130831e-01
6.715695720688390491e-01 2.959978430939056993e-01 2.295359735938851953e-01
6.715695720688390491e-01 2.959978430939056993e-01 2.147967943680974268e-01
6.715695720688390491e-01 2.678956020125730086e-01 2.678956020125730086e-01
6.715695720688390491e-01 2.678956020125730086e-01 2.466876144783130831e-01
6.715695720688390491e-01 2.678956020125730086e-01 2.295359735938851953e-01
6.715695720688390491e-01 2.678956020125730086e-01 2.147967943680974268e-01
6.715695720688390491e-01 2.678956020125730086e-01 2.008305591185285677e-01
6.715695720688390491e-01 2.466876144783130831e-01 2.466876144783130831e-01
6.715695720688390491e-01 2.466876144783130831e-01 2.295359735938851953e-01
6.715695720688390491e-01 2.466876144783130831e-01 2.147967943680974268e-01
6.715695720688390491e-01 2.466876144783130831e-01 2.008305591185285677e-01
6.715695720688390491e-01 2.466876144783130831e-01 1.870808351794090441e-01
6.715695720688390491e-01 2.295359735938851953e-01 2.295359735938851953e-01
6.715695720688390491e-01 2.295359735938851953e-01 2.147967943680974268e-01
6.715695720688390491e-01 2.295359735938851953e-01 2.008305591185285677e-01
6.715695720688390491e-01 2.295359735938851953e-01 1.870808351794090441e-01
6.715695720688390491e-01 2.295359735938851953e-01 1.734319545603026091e-01
6.715695720688390491e-01 2.147967943680974268e-01 2.147967943680974268e-01
6.715695720688390491e-01 2.147967943680974268e-01 2.008305591185285677e-01
6.715695720688390491e-01 2.147967943680974268e-01 1.870808351794090441e-01
6.715695720688390491e-01 2.147967943680974268e-01 1.734319545603026091e-01
6.715695720688390491e-01 2.008305591185285677e-01 2.008305591185285677e-01
6.715695720688390491e-01 2.008305591185285677e-01 1.870808351794090441e-01
6.715695720688390491e-01 2.008305591185285677e-01 1.734319545603026091e-01
6.715695720688390491e-01 1.870808351794090441e-01 1.870808351794090441e-01
6.715695720688390491e-01 1.870808351794090441e-01 1.734319545603026091e-01
6.715695720688390491e-01 1.734319545603026091e-01 1.734319545603026091e-01
5.805100554943243285e-01 5.805100554943243285e-01 5.805100554943243285e-01
5.805100554943243285e-01 5.805100554943243285e-01 5.009937972951590268e-01
5.805100554943243285e-01 5.805100554943243285e-01 4.342067149960613937e-01
5.805100554943243285e-01 5.805100554943243285e-01 3.776872742907519398e-01
5.805100554943243285e-01 5.805100554943243285e-01 3.308007881542259221e-01
5.805100554943243285e-01 5.805100554943243285e-01 2.959978430939056993e-01
5.805100554943243285e-01 5.009937972951590268e-01 5.009937972951590268e-01
5.805100554943243285e-01 5.009937972951590268e-01 4.342067149960613937e-01
5.805100554943243285e-01 5.009937972951590268e-01 3.776872742907519398e-01
5.805100554943243285e-01 5.009937972951590268e-01 3.308007881542259221e-01
5.805100554943243285e-01 5.009937972951590268e-01 2.959978430939056993e-01
5.805100554943243285e-01 5.009937972951590268e-01 2.678956020125730086e-01
5.805100554943243285e-01 4.342067149960613937e-01 4.342067149960613937e-01
5.805100554943243285e-01 4.342067149960613937e-01 3.776872742907519398e-01
5.805100554943243285e-01 4.342067149960613937e-01 3.308007881542259221e-01
5.805100554943243285e-01 4.342067149960613937e-01 2.959978430939056993e-01
5.805100554943243285e-01 4.342067149960613937e-01 2.678956020125730086e-01
5.805100554943243285e-01 4.342067149960613937e-01 2.466876144783130831e-01
5.805100554943243285e-01 3.776872742907519398e-01 3.776872742907519398e-01
5.805100554943243285e-01 3.776872742907519398e-01 3.308007881542259221e-01
5.805100554943243285e-01 3.776872742907519398e-01 2.959978430939056993e-01
5.805100554943243285e-01 3.776872742907519398e-01 2.678956020125730086e-01
5.805100554943243285e-01 3.776872742907519398e-01 2.466876144783130831e-01
5.805100554943243285e-01 3.776872742907519398e-01 2.295359735938851953e-01
5.805100554943243285e-01 3.308007881542259221e-01 3.308007881542259221e-01
5.805100554943243285e-01 3.308007881542259221e-01 2.959978430939056993e-01
5.805100554943243285e-01 3.308007881542259221e-01 2.678956020125730086e-01
5.805100554943243285e-01 3.308007881542259221e-01 2.466876144783130831e-01
5.805100554943243285e-01 3.308007881542259221e-01 2.295359735938851953e-01
5.805100554943243285e-01 3.308007881542259221e-01 2.147967943680974268e-01
5.805100554943243285e-01 2.959978430939056993e-01 2.959978430939056993e-01
5.805100554943243285e-01 2.959978430939056993e-01 2.678956020125730086e-01
5.805100554943243285e-01 2.959978430939056993e-01 2.466876144783130831e-01
5.805100554943243285e-01 2.959978430939056993e-01 2.295359735938851953e-01
5.805100554943243285e-01 2.959978430939056993e-01 2.147967943680974268e-01
5.805100554943243285e-01 2.959978430939056993e-01 2.008305591185285677e-01
5.805100554943243285e-01 2.678956020125730086e-01 2.678956020125730086e-01
5.805100554943243285e-01 2.678956020125730086e-01 2.466876144783130831e-01
5.805100554943243285e-01 2.678956020125730086e-01 2.295359735938851953e-01
5.805100554943243285e-01 2.678956020125730086e-01 2.147967943680974268e-01
5.805100554943243285e-01 2.678956020125730086e-01 2.008305591185285677e-01
5.805100554943243285e-01 2.678956020125730086e-01 1.870808351794090441e-01
5.805100554943243285e-01 2.466876144783130831e-01 2.466876144783130831e-01
5.805100554943243285e-01 2.466876144783130831e-01 2.295359735938851953e-01
5.805100554943243285e-01 2.466876144783130831e-01 2.147967943680974268e-01
5.805100554943243285e-01 2.466876144783130831e-01 2.008305591185285677e-01
5.805100554943243285e-01 2.466876144783130831e-01 1.870808351794090441e-01
5.805100554943243285e-01 2.466876144783130831e-01 1.734319545603026091e-01
5.805100554943243285e-01 2.295359735938851953e-01 2.295359735938851953e-01
5.805100554943243285e-01 2.295359735938851953e-01 2.147967943680974268e-01
5.805100554943243285e-01 2.295359735938851953e-01 2.008305591185285677e-01
5.805100554943243285e-01 2.295359735938851953e-01 1.870808351794090441e-01
5.805100554943243285e-01 2.295359735938851953e-01 1.734319545603026091e-01
5.805100554943243285e-01 2.147967943680974268e-01 2.147967943680974268e-01
5.805100554943243285e-01 2.147967943680974268e-01 2.008305591185285677e-01
5.805100554943243285e-01 2.147967943680974268e-01 1.870808351794090441e-01
5.805100554943243285e-01 2.147967943680974268e-01 1.734319545603026091e-01
5.805100554943243285e-01 2.008305591185285677e-01 2.008305591185285677e-01
5.805100554943243285e-01 2.008305591185285677e-01 1.870808351794090441e-01
5.805100554943243285e-01 2.008305591185285677e-01 1.734319545603026091e-01
5.805100554943243285e-01 1.870808351794090441e-01 1.870808351794090441e-01
5.805100554943243285e-01 1.870808351794090441e-01 1.734319545603026091e-01
5.805100554943243285e-01 1.734319545603026091e-01 1.734319545603026091e-01
5.009937972951590268e-01 5.009937972951590268e-01 5.009937972951590268e-01
5.009937972951590268e-01 5.009937972951590268e-01 4.342067149960613937e-01
5.009937972951590268e-01 5.009937972951590268e-01 3.776872742907519398e-01
5.009937972951590268e-01 5.009937972951590268e-01 3.308007881542259221e-01
5.009937972951590268e-01 5.009937972951590268e-01 2.959978430939056993e-01
5.009937972951590268e-01 5.009937972951590268e-01 2.678956020125730086e-01
5.009937972951590268e-01 5.009937972951590268e-01 2.466876144783130831e-01
5.009937972951590268e-01 4.342067149960613937e-01 4.342067149960613937e-01
5.009937972951590268e-01 4.342067149960613937e-01 3.776872742907519398e-01
5.009937972951590268e-01 4.342067149960613937e-01 3.308007881542259221e-01
5.009937972951590268e-01 4.342067149960613937e-01 2.959978430939056993e-01
5.009937972951590268e-01 4.342067149960613937e-01 2.678956020125730086e-01
5.009937972951590268e-01 4.342067149960613937e-01 2.466876144783130831e-01
5.009937972951590268e-01 4.342067149960613937e-01 2.295359735938851953e-01
5.009937972951590268e-01 3.776872742907519398e-01 3.776872742907519398e-01
5.009937972951590268e-01 3.776872742907519398e-01 3.308007881542259221e-01
5.009937972951590268e-01 3.776872742907519398e-01 2.959978430939056993e-01
5.009937972951590268e-01 3.776872742907519398e-01 2.678956020125730086e-01
5.009937972951590268e-01 3.776872742907519398e-01 2.466876144783130831e-01
5.009937972951590268e-01 3.776872742907519398e-01 2.295359735938851953e-01
5.009937972951590268e-01 3.776872742907519398e-01 2.147967943680974268e-01
5.009937972951590268e-01 3.308007881542259221e-01 3.308007881542259221e-01
5.009937972951590268e-01 3.308007881542259221e-01 2.959978430939056993e-01
5.009937972951590268e-01 3.308007881542259221e-01 2.678956020125730086e-01
5.009937972951590268e-01 3.308007881542259221e-01 2.466876144783130831e-01
5.009937972951590268e-01 3.308007881542259221e-01 2.295359735938851953e-01
5.009937972951590268e-01 3.308007881542259221e-01 2.147967943680974268e-01
5.009937972951590268e-01 3.308007881542259221e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.959978430939056993e-01 2.959978430939056993e-01
5.009937972951590268e-01 2.959978430939056993e-01 2.678956020125730086e-01
5.009937972951590268e-01 2.959978430939056993e-01 2.466876144783130831e-01
5.009937972951590268e-01 2.959978430939056993e-01 2.295359735938851953e-01
5.009937972951590268e-01 2.959978430939056993e-01 2.147967943680974268e-01
5.009937972951590268e-01 2.959978430939056993e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.959978430939056993e-01 1.870808351794090441e-01
5.009937972951590268e-01 2.678956020125730086e-01 2.678956020125730086e-01
5.009937972951590268e-01 2.678956020125730086e-01 2.466876144783130831e-01
5.009937972951590268e-01 2.678956020125730086e-01 2.295359735938851953e-01
5.009937972951590268e-01 2.678956020125730086e-01 2.147967943680974268e-01
5.009937972951590268e-01 2.678956020125730086e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.678956020125730086e-01 1.870808351794090441e-01
5.009937972951590268e-01 2.678956020125730086e-01 1.734319545603026091e-01
5.009937972951590268e-01 2.466876144783130831e-01 2.466876144783130831e-01
5.009937972951590268e-01 2.466876144783130831e-01 2.295359735938851953e-01
5.009937972951590268e-01 2.466876144783130831e-01 2.147967943680974268e-01
5.009937972951590268e-01 2.466876144783130831e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.466876144783130831e-01 1.870808351794090441e-01
5.009937972951590268e-01 2.466876144783130831e-01 1.734319545603026091e-01
5.009937972951590268e-01 2.295359735938851953e-01 2.295359735938851953e-01
5.009937972951590268e-01 2.295359735938851953e-01 2.147967943680974268e-01
5.009937972951590268e-01 2.295359735938851953e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.295359735938851953e-01 1.870808351794090441e-01
5.009937972951590268e-01 2.295359735938851953e-01 1.734319545603026091e-01
5.009937972951590268e-01 2.147967943680974268e-01 2.147967943680974268e-01
5.009937972951590268e-01 2.147967943680974268e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.147967943680974268e-01 1.870808351794090441e-01
5.009937972951590268e-01 2.147967943680974268e-01 1.734319545603026091e-01
5.009937972951590268e-01 2.008305591185285677e-01 2.008305591185285677e-01
5.009937972951590268e-01 2.008305591185285677e-01 1.870808351794090441e-01
5.009937972951590268e-01 2.008305591185285677e-01 1.734319545603026091e-01
5.009937972951590268e-01 1.870808351794090441e-01 1.870808351794090441e-01
5.009937972951590268e-01 1.870808351794090441e-01 1.734319545603026091e-01
5.009937972951590268e-01 1.734319545603026091e-01 1.734319545603026091e-01
4.342067149960613937e-01 4.342067149960613937e-01 4.342067149960613937e-01
4.342067149960613937e-01 4.342067149960613937e-01 3.776872742907519398e-01
4.342067149960613937e-01 4.342067149960613937e-01 3.308007881542259221e-01
4.342067149960613937e-01 4.342067149960613937e-01 2.959978430939056993e-01
4.342067149960613937e-01 4.342067149960613937e-01 2.678956020125730086e-01
4.342067149960613937e-01 4.342067149960613937e-01 2.466876144783130831e-01
4.342067149960613937e-01 4.342067149960613937e-01 2.295359735938851953e-01
4.342067149960613937e-01 4.342067149960613937e-01 2.147967943680974268e-01
4.342067149960613937e-01 3.776872742907519398e-01 3.776872742907519398e-01
4.342067149960613937e-01 3.776872742907519398e-01 3.308007881542259221e-01
4.342067149960613937e-01 3.776872742907519398e-01 2.959978430939056993e-01
4.342067149960613937e-01 3.776872742907519398e-01 2.678956020125730086e-01
4.342067149960613937e-01 3.776872742907519398e-01 2.466876144783130831e-01
4.342067149960613937e-01 3.776872742907519398e-01 2.295359735938851953e-01
4.342067149960613937e-01 3.776872742907519398e-01 2.147967943680974268e-01
4.342067149960613937e-01 3.776872742907519398e-01 2.008305591185285677e-01
4.342067149960613937e-01 3.308007881542259221e-01 3.308007881542259221e-01
4.342067149960613937e-01 3.308007881542259221e-01 2.959978430939056993e-01
4.342067149960613937e-01 3.308007881542259221e-01 2.678956020125730086e-01
4.342067149960613937e-01 3.308007881542259221e-01 2.466876144783130831e-01
4.342067149960613937e-01 3.308007881542259221e-01 2.295359735938851953e-01
4.342067149960613937e-01 3.308007881542259221e-01 2.147967943680974268e-01
4.342067149960613937e-01 3.308007881542259221e-01 2.008305591185285677e-01
4.342067149960613937e-01 3.308007881542259221e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.959978430939056993e-01 2.959978430939056993e-01
4.342067149960613937e-01 2.959978430939056993e-01 2.678956020125730086e-01
4.342067149960613937e-01 2.959978430939056993e-01 2.466876144783130831e-01
4.342067149960613937e-01 2.959978430939056993e-01 2.295359735938851953e-01
4.342067149960613937e-01 2.959978430939056993e-01 2.147967943680974268e-01
4.342067149960613937e-01 2.959978430939056993e-01 2.008305591185285677e-01
4.342067149960613937e-01 2.959978430939056993e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.959978430939056993e-01 1.734319545603026091e-01
4.342067149960613937e-01 2.678956020125730086e-01 2.678956020125730086e-01
4.342067149960613937e-01 2.678956020125730086e-01 2.466876144783130831e-01
4.342067149960613937e-01 2.678956020125730086e-01 2.295359735938851953e-01
4.342067149960613937e-01 2.678956020125730086e-01 2.147967943680974268e-01
4.342067149960613937e-01 2.678956020125730086e-01 2.008305591185285677e-01
4.342067149960613937e-01 2.678956020125730086e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.678956020125730086e-01 1.734319545603026091e-01
4.342067149960613937e-01 2.466876144783130831e-01 2.466876144783130831e-01
4.342067149960613937e-01 2.466876144783130831e-01 2.295359735938851953e-01
4.342067149960613937e-01 2.466876144783130831e-01 2.147967943680974268e-01
4.342067149960613937e-01 2.466876144783130831e-01 2.008305591185285677e-01
4.342067149960613937e-01 2.466876144783130831e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.466876144783130831e-01 1.734319545603026091e-01
4.342067149960613937e-01 2.295359735938851953e-01 2.295359735938851953e-01
4.342067149960613937e-01 2.295359735938851953e-01 2.147967943680974268e-01
4.342067149960613937e-01 2.295359735938851953e-01 2.008305591185285677e-01
4.342067149960613937e-01 2.295359735938851953e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.295359735938851953e-01 1.734319545603026091e-01
4.342067149960613937e-01 2.147967943680974268e-01 2.147967943680974268e-01
4.342067149960613937e-01 2.147967943680974268e-01 2.008305591185285677e-01
4.342067149960613937e-01 2.147967943680974268e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.147967943680974268e-01 1.734319545603026091e-01
4.342067149960613937e-01 2.008305591185285677e-01 2.008305591185285677e-01
4.342067149960613937e-01 2.008305591185285677e-01 1.870808351794090441e-01
4.342067149960613937e-01 2.008305591185285677e-01 1.734319545603026091e-01
4.342067149960613937e-01 1.870808351794090441e-01 1.870808351794090441e-01
4.342067149960613937e-01 1.870808351794090441e-01 1.734319545603026091e-01
4.342067149960613937e-01 1.734319545603026091e-01 1.734319545603026091e-01
3.776872742907519398e-01 3.776872742907519398e-01 3.776872742907519398e-01
3.776872742907519398e-01 3.776872742907519398e-01 3.308007881542259221e-01
3.776872742907519398e-01 3.776872742907519398e-01 2.959978430939056993e-01
3.776872742907519398e-01 3.776872742907519398e-01 2.678956020125730086e-01
3.776872742907519398e-01 3.776872742907519398e-01 2.466876144783130831e-01
3.776872742907519398e-01 3.776872742907519398e-01 2.295359735938851953e-01
3.776872742907519398e-01 3.776872742907519398e-01 2.147967943680974268e-01
3.776872742907519398e-01 3.776872742907519398e-01 2.008305591185285677e-01
3.776872742907519398e-01 3.776872742907519398e-01 1.870808351794090441e-01
3.776872742907519398e-01 3.308007881542259221e-01 3.308007881542259221e-01
3.776872742907519398e-01 3.308007881542259221e-01 2.959978430939056993e-01
3.776872742907519398e-01 3.308007881542259221e-01 2.678956020125730086e-01
3.776872742907519398e-01 3.308007881542259221e-01 2.466876144783130831e-01
3.776872742907519398e-01 3.308007881542259221e-01 2.295359735938851953e-01
3.776872742907519398e-01 3.308007881542259221e-01 2.147967943680974268e-01
3.776872742907519398e-01 3.308007881542259221e-01 2.008305591185285677e-01
3.776872742907519398e-01 3.308007881542259221e-01 1.870808351794090441e-01
3.776872742907519398e-01 3.308007881542259221e-01 1.734319545603026091e-01
3.776872742907519398e-01 2.959978430939056993e-01 2.959978430939056993e-01
3.776872742907519398e-01 2.959978430939056993e-01 2.678956020125730086e-01
3.776872742907519398e-01 2.959978430939056993e-01 2.466876144783130831e-01
3.776872742907519398e-01 2.959978430939056993e-01 2.295359735938851953e-01
3.776872742907519398e-01 2.959978430939056993e-01 2.147967943680974268e-01
3.776872742907519398e-01 2.959978430939056993e-01 2.008305591185285677e-01
3.776872742907519398e-01 2.959978430939056993e-01 1.870808351794090441e-01
3.776872742907519398e-01 2.959978430939056993e-01 1.734319545603026091e-01
3.776872742907519398e-01 2.678956020125730086e-01 2.678956020125730086e-01
3.776872742907519398e-01 2.678956020125730086e-01 2.466876144783130831e-01
3.776872742907519398e-01 2.678956020125730086e-01 2.295359735938851953e-01
3.776872742907519398e-01 2.678956020125730086e-01 2.147967943680974268e-01
3.776872742907519398e-01 2.678956020125730086e-01 2.008305591185285677e-01
3.776872742907519398e-01 2.678956020125730086e-01 1.870808351794090441e-01
3.776872742907519398e-01 2.678956020125730086e-01 1.734319545603026091e-01
3.776872742907519398e-01 2.466876144783130831e-01 2.466876144783130831e-01
3.776872742907519398e-01 2.466876144783130831e-01 2.295359735938851953e-01
3.776872742907519398e-01 2.466876144783130831e-01 2.147967943680974268e-01
3.776872742907519398e-01 2.466876144783130831e-01 2.008305591185285677e-01
3.776872742907519398e-01 2.466876144783130831e-01 1.870808351794090441e-01
