# (k1,k2,k3) at z_eff=1.483 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input/models/k_eff-bisp.txt 
#  Minv(k1) Minv(k2) Minv(k3)
1.589526380821908256e-03 2.485149835082696977e-04 2.195909346477853310e-04
1.589526380821908256e-03 2.485149835082696977e-04 1.966081629087492063e-04
1.589526380821908256e-03 2.485149835082696977e-04 1.766109163816252366e-04
1.589526380821908256e-03 2.195909346477853310e-04 2.195909346477853310e-04
1.589526380821908256e-03 2.195909346477853310e-04 1.966081629087492063e-04
1.589526380821908256e-03 2.195909346477853310e-04 1.766109163816252366e-04
1.589526380821908256e-03 2.195909346477853310e-04 1.595873890645933021e-04
1.589526380821908256e-03 1.966081629087492063e-04 1.966081629087492063e-04
1.589526380821908256e-03 1.966081629087492063e-04 1.766109163816252366e-04
1.589526380821908256e-03 1.966081629087492063e-04 1.595873890645933021e-04
1.589526380821908256e-03 1.966081629087492063e-04 1.453712918374660190e-04
1.589526380821908256e-03 1.766109163816252366e-04 1.766109163816252366e-04
1.589526380821908256e-03 1.766109163816252366e-04 1.595873890645933021e-04
1.589526380821908256e-03 1.766109163816252366e-04 1.453712918374660190e-04
1.589526380821908256e-03 1.766109163816252366e-04 1.340990000005143367e-04
1.589526380821908256e-03 1.595873890645933021e-04 1.595873890645933021e-04
1.589526380821908256e-03 1.595873890645933021e-04 1.453712918374660190e-04
1.589526380821908256e-03 1.595873890645933021e-04 1.340990000005143367e-04
1.589526380821908256e-03 1.595873890645933021e-04 1.254168242998277970e-04
1.589526380821908256e-03 1.453712918374660190e-04 1.453712918374660190e-04
1.589526380821908256e-03 1.453712918374660190e-04 1.340990000005143367e-04
1.589526380821908256e-03 1.453712918374660190e-04 1.254168242998277970e-04
1.589526380821908256e-03 1.453712918374660190e-04 1.189120921888094724e-04
1.589526380821908256e-03 1.340990000005143367e-04 1.340990000005143367e-04
1.589526380821908256e-03 1.340990000005143367e-04 1.254168242998277970e-04
1.589526380821908256e-03 1.340990000005143367e-04 1.189120921888094724e-04
1.589526380821908256e-03 1.254168242998277970e-04 1.254168242998277970e-04
1.589526380821908256e-03 1.254168242998277970e-04 1.189120921888094724e-04
1.589526380821908256e-03 1.189120921888094724e-04 1.189120921888094724e-04
8.451253617121735158e-04 8.451253617121735158e-04 8.451253617121735158e-04
8.451253617121735158e-04 8.451253617121735158e-04 5.581330431267916793e-04
8.451253617121735158e-04 8.451253617121735158e-04 4.165105107766180312e-04
8.451253617121735158e-04 8.451253617121735158e-04 3.351387464691093598e-04
8.451253617121735158e-04 8.451253617121735158e-04 2.838588656719959516e-04
8.451253617121735158e-04 5.581330431267916793e-04 5.581330431267916793e-04
8.451253617121735158e-04 5.581330431267916793e-04 4.165105107766180312e-04
8.451253617121735158e-04 5.581330431267916793e-04 3.351387464691093598e-04
8.451253617121735158e-04 5.581330431267916793e-04 2.838588656719959516e-04
8.451253617121735158e-04 5.581330431267916793e-04 2.485149835082696977e-04
8.451253617121735158e-04 4.165105107766180312e-04 4.165105107766180312e-04
8.451253617121735158e-04 4.165105107766180312e-04 3.351387464691093598e-04
8.451253617121735158e-04 4.165105107766180312e-04 2.838588656719959516e-04
8.451253617121735158e-04 4.165105107766180312e-04 2.485149835082696977e-04
8.451253617121735158e-04 4.165105107766180312e-04 2.195909346477853310e-04
8.451253617121735158e-04 3.351387464691093598e-04 3.351387464691093598e-04
8.451253617121735158e-04 3.351387464691093598e-04 2.838588656719959516e-04
8.451253617121735158e-04 3.351387464691093598e-04 2.485149835082696977e-04
8.451253617121735158e-04 3.351387464691093598e-04 2.195909346477853310e-04
8.451253617121735158e-04 3.351387464691093598e-04 1.966081629087492063e-04
8.451253617121735158e-04 2.838588656719959516e-04 2.838588656719959516e-04
8.451253617121735158e-04 2.838588656719959516e-04 2.485149835082696977e-04
8.451253617121735158e-04 2.838588656719959516e-04 2.195909346477853310e-04
8.451253617121735158e-04 2.838588656719959516e-04 1.966081629087492063e-04
8.451253617121735158e-04 2.838588656719959516e-04 1.766109163816252366e-04
8.451253617121735158e-04 2.485149835082696977e-04 2.485149835082696977e-04
8.451253617121735158e-04 2.485149835082696977e-04 2.195909346477853310e-04
8.451253617121735158e-04 2.485149835082696977e-04 1.966081629087492063e-04
8.451253617121735158e-04 2.485149835082696977e-04 1.766109163816252366e-04
8.451253617121735158e-04 2.485149835082696977e-04 1.595873890645933021e-04
8.451253617121735158e-04 2.195909346477853310e-04 2.195909346477853310e-04
8.451253617121735158e-04 2.195909346477853310e-04 1.966081629087492063e-04
8.451253617121735158e-04 2.195909346477853310e-04 1.766109163816252366e-04
8.451253617121735158e-04 2.195909346477853310e-04 1.595873890645933021e-04
8.451253617121735158e-04 2.195909346477853310e-04 1.453712918374660190e-04
8.451253617121735158e-04 1.966081629087492063e-04 1.966081629087492063e-04
8.451253617121735158e-04 1.966081629087492063e-04 1.766109163816252366e-04
8.451253617121735158e-04 1.966081629087492063e-04 1.595873890645933021e-04
8.451253617121735158e-04 1.966081629087492063e-04 1.453712918374660190e-04
8.451253617121735158e-04 1.966081629087492063e-04 1.340990000005143367e-04
8.451253617121735158e-04 1.766109163816252366e-04 1.766109163816252366e-04
8.451253617121735158e-04 1.766109163816252366e-04 1.595873890645933021e-04
8.451253617121735158e-04 1.766109163816252366e-04 1.453712918374660190e-04
8.451253617121735158e-04 1.766109163816252366e-04 1.340990000005143367e-04
8.451253617121735158e-04 1.766109163816252366e-04 1.254168242998277970e-04
8.451253617121735158e-04 1.595873890645933021e-04 1.595873890645933021e-04
8.451253617121735158e-04 1.595873890645933021e-04 1.453712918374660190e-04
8.451253617121735158e-04 1.595873890645933021e-04 1.340990000005143367e-04
8.451253617121735158e-04 1.595873890645933021e-04 1.254168242998277970e-04
8.451253617121735158e-04 1.595873890645933021e-04 1.189120921888094724e-04
8.451253617121735158e-04 1.453712918374660190e-04 1.453712918374660190e-04
8.451253617121735158e-04 1.453712918374660190e-04 1.340990000005143367e-04
8.451253617121735158e-04 1.453712918374660190e-04 1.254168242998277970e-04
8.451253617121735158e-04 1.453712918374660190e-04 1.189120921888094724e-04
8.451253617121735158e-04 1.340990000005143367e-04 1.340990000005143367e-04
8.451253617121735158e-04 1.340990000005143367e-04 1.254168242998277970e-04
8.451253617121735158e-04 1.340990000005143367e-04 1.189120921888094724e-04
8.451253617121735158e-04 1.254168242998277970e-04 1.254168242998277970e-04
8.451253617121735158e-04 1.254168242998277970e-04 1.189120921888094724e-04
8.451253617121735158e-04 1.189120921888094724e-04 1.189120921888094724e-04
5.581330431267916793e-04 5.581330431267916793e-04 5.581330431267916793e-04
5.581330431267916793e-04 5.581330431267916793e-04 4.165105107766180312e-04
5.581330431267916793e-04 5.581330431267916793e-04 3.351387464691093598e-04
5.581330431267916793e-04 5.581330431267916793e-04 2.838588656719959516e-04
5.581330431267916793e-04 5.581330431267916793e-04 2.485149835082696977e-04
5.581330431267916793e-04 5.581330431267916793e-04 2.195909346477853310e-04
5.581330431267916793e-04 4.165105107766180312e-04 4.165105107766180312e-04
5.581330431267916793e-04 4.165105107766180312e-04 3.351387464691093598e-04
5.581330431267916793e-04 4.165105107766180312e-04 2.838588656719959516e-04
5.581330431267916793e-04 4.165105107766180312e-04 2.485149835082696977e-04
5.581330431267916793e-04 4.165105107766180312e-04 2.195909346477853310e-04
5.581330431267916793e-04 4.165105107766180312e-04 1.966081629087492063e-04
5.581330431267916793e-04 3.351387464691093598e-04 3.351387464691093598e-04
5.581330431267916793e-04 3.351387464691093598e-04 2.838588656719959516e-04
5.581330431267916793e-04 3.351387464691093598e-04 2.485149835082696977e-04
5.581330431267916793e-04 3.351387464691093598e-04 2.195909346477853310e-04
5.581330431267916793e-04 3.351387464691093598e-04 1.966081629087492063e-04
5.581330431267916793e-04 3.351387464691093598e-04 1.766109163816252366e-04
5.581330431267916793e-04 2.838588656719959516e-04 2.838588656719959516e-04
5.581330431267916793e-04 2.838588656719959516e-04 2.485149835082696977e-04
5.581330431267916793e-04 2.838588656719959516e-04 2.195909346477853310e-04
5.581330431267916793e-04 2.838588656719959516e-04 1.966081629087492063e-04
5.581330431267916793e-04 2.838588656719959516e-04 1.766109163816252366e-04
5.581330431267916793e-04 2.838588656719959516e-04 1.595873890645933021e-04
5.581330431267916793e-04 2.485149835082696977e-04 2.485149835082696977e-04
5.581330431267916793e-04 2.485149835082696977e-04 2.195909346477853310e-04
5.581330431267916793e-04 2.485149835082696977e-04 1.966081629087492063e-04
5.581330431267916793e-04 2.485149835082696977e-04 1.766109163816252366e-04
5.581330431267916793e-04 2.485149835082696977e-04 1.595873890645933021e-04
5.581330431267916793e-04 2.485149835082696977e-04 1.453712918374660190e-04
5.581330431267916793e-04 2.195909346477853310e-04 2.195909346477853310e-04
5.581330431267916793e-04 2.195909346477853310e-04 1.966081629087492063e-04
5.581330431267916793e-04 2.195909346477853310e-04 1.766109163816252366e-04
5.581330431267916793e-04 2.195909346477853310e-04 1.595873890645933021e-04
5.581330431267916793e-04 2.195909346477853310e-04 1.453712918374660190e-04
5.581330431267916793e-04 2.195909346477853310e-04 1.340990000005143367e-04
5.581330431267916793e-04 1.966081629087492063e-04 1.966081629087492063e-04
5.581330431267916793e-04 1.966081629087492063e-04 1.766109163816252366e-04
5.581330431267916793e-04 1.966081629087492063e-04 1.595873890645933021e-04
5.581330431267916793e-04 1.966081629087492063e-04 1.453712918374660190e-04
5.581330431267916793e-04 1.966081629087492063e-04 1.340990000005143367e-04
5.581330431267916793e-04 1.966081629087492063e-04 1.254168242998277970e-04
5.581330431267916793e-04 1.766109163816252366e-04 1.766109163816252366e-04
5.581330431267916793e-04 1.766109163816252366e-04 1.595873890645933021e-04
5.581330431267916793e-04 1.766109163816252366e-04 1.453712918374660190e-04
5.581330431267916793e-04 1.766109163816252366e-04 1.340990000005143367e-04
5.581330431267916793e-04 1.766109163816252366e-04 1.254168242998277970e-04
5.581330431267916793e-04 1.766109163816252366e-04 1.189120921888094724e-04
5.581330431267916793e-04 1.595873890645933021e-04 1.595873890645933021e-04
5.581330431267916793e-04 1.595873890645933021e-04 1.453712918374660190e-04
5.581330431267916793e-04 1.595873890645933021e-04 1.340990000005143367e-04
5.581330431267916793e-04 1.595873890645933021e-04 1.254168242998277970e-04
5.581330431267916793e-04 1.595873890645933021e-04 1.189120921888094724e-04
5.581330431267916793e-04 1.453712918374660190e-04 1.453712918374660190e-04
5.581330431267916793e-04 1.453712918374660190e-04 1.340990000005143367e-04
5.581330431267916793e-04 1.453712918374660190e-04 1.254168242998277970e-04
5.581330431267916793e-04 1.453712918374660190e-04 1.189120921888094724e-04
5.581330431267916793e-04 1.340990000005143367e-04 1.340990000005143367e-04
5.581330431267916793e-04 1.340990000005143367e-04 1.254168242998277970e-04
5.581330431267916793e-04 1.340990000005143367e-04 1.189120921888094724e-04
5.581330431267916793e-04 1.254168242998277970e-04 1.254168242998277970e-04
5.581330431267916793e-04 1.254168242998277970e-04 1.189120921888094724e-04
5.581330431267916793e-04 1.189120921888094724e-04 1.189120921888094724e-04
4.165105107766180312e-04 4.165105107766180312e-04 4.165105107766180312e-04
4.165105107766180312e-04 4.165105107766180312e-04 3.351387464691093598e-04
4.165105107766180312e-04 4.165105107766180312e-04 2.838588656719959516e-04
4.165105107766180312e-04 4.165105107766180312e-04 2.485149835082696977e-04
4.165105107766180312e-04 4.165105107766180312e-04 2.195909346477853310e-04
4.165105107766180312e-04 4.165105107766180312e-04 1.966081629087492063e-04
4.165105107766180312e-04 4.165105107766180312e-04 1.766109163816252366e-04
4.165105107766180312e-04 3.351387464691093598e-04 3.351387464691093598e-04
4.165105107766180312e-04 3.351387464691093598e-04 2.838588656719959516e-04
4.165105107766180312e-04 3.351387464691093598e-04 2.485149835082696977e-04
4.165105107766180312e-04 3.351387464691093598e-04 2.195909346477853310e-04
4.165105107766180312e-04 3.351387464691093598e-04 1.966081629087492063e-04
4.165105107766180312e-04 3.351387464691093598e-04 1.766109163816252366e-04
4.165105107766180312e-04 3.351387464691093598e-04 1.595873890645933021e-04
4.165105107766180312e-04 2.838588656719959516e-04 2.838588656719959516e-04
4.165105107766180312e-04 2.838588656719959516e-04 2.485149835082696977e-04
4.165105107766180312e-04 2.838588656719959516e-04 2.195909346477853310e-04
4.165105107766180312e-04 2.838588656719959516e-04 1.966081629087492063e-04
4.165105107766180312e-04 2.838588656719959516e-04 1.766109163816252366e-04
4.165105107766180312e-04 2.838588656719959516e-04 1.595873890645933021e-04
4.165105107766180312e-04 2.838588656719959516e-04 1.453712918374660190e-04
4.165105107766180312e-04 2.485149835082696977e-04 2.485149835082696977e-04
4.165105107766180312e-04 2.485149835082696977e-04 2.195909346477853310e-04
4.165105107766180312e-04 2.485149835082696977e-04 1.966081629087492063e-04
4.165105107766180312e-04 2.485149835082696977e-04 1.766109163816252366e-04
4.165105107766180312e-04 2.485149835082696977e-04 1.595873890645933021e-04
4.165105107766180312e-04 2.485149835082696977e-04 1.453712918374660190e-04
4.165105107766180312e-04 2.485149835082696977e-04 1.340990000005143367e-04
4.165105107766180312e-04 2.195909346477853310e-04 2.195909346477853310e-04
4.165105107766180312e-04 2.195909346477853310e-04 1.966081629087492063e-04
4.165105107766180312e-04 2.195909346477853310e-04 1.766109163816252366e-04
4.165105107766180312e-04 2.195909346477853310e-04 1.595873890645933021e-04
4.165105107766180312e-04 2.195909346477853310e-04 1.453712918374660190e-04
4.165105107766180312e-04 2.195909346477853310e-04 1.340990000005143367e-04
4.165105107766180312e-04 2.195909346477853310e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.966081629087492063e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.766109163816252366e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.595873890645933021e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.453712918374660190e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.340990000005143367e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.966081629087492063e-04 1.189120921888094724e-04
4.165105107766180312e-04 1.766109163816252366e-04 1.766109163816252366e-04
4.165105107766180312e-04 1.766109163816252366e-04 1.595873890645933021e-04
4.165105107766180312e-04 1.766109163816252366e-04 1.453712918374660190e-04
4.165105107766180312e-04 1.766109163816252366e-04 1.340990000005143367e-04
4.165105107766180312e-04 1.766109163816252366e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.766109163816252366e-04 1.189120921888094724e-04
4.165105107766180312e-04 1.595873890645933021e-04 1.595873890645933021e-04
4.165105107766180312e-04 1.595873890645933021e-04 1.453712918374660190e-04
4.165105107766180312e-04 1.595873890645933021e-04 1.340990000005143367e-04
4.165105107766180312e-04 1.595873890645933021e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.595873890645933021e-04 1.189120921888094724e-04
4.165105107766180312e-04 1.453712918374660190e-04 1.453712918374660190e-04
4.165105107766180312e-04 1.453712918374660190e-04 1.340990000005143367e-04
4.165105107766180312e-04 1.453712918374660190e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.453712918374660190e-04 1.189120921888094724e-04
4.165105107766180312e-04 1.340990000005143367e-04 1.340990000005143367e-04
4.165105107766180312e-04 1.340990000005143367e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.340990000005143367e-04 1.189120921888094724e-04
4.165105107766180312e-04 1.254168242998277970e-04 1.254168242998277970e-04
4.165105107766180312e-04 1.254168242998277970e-04 1.189120921888094724e-04
4.165105107766180312e-04 1.189120921888094724e-04 1.189120921888094724e-04
3.351387464691093598e-04 3.351387464691093598e-04 3.351387464691093598e-04
3.351387464691093598e-04 3.351387464691093598e-04 2.838588656719959516e-04
3.351387464691093598e-04 3.351387464691093598e-04 2.485149835082696977e-04
3.351387464691093598e-04 3.351387464691093598e-04 2.195909346477853310e-04
3.351387464691093598e-04 3.351387464691093598e-04 1.966081629087492063e-04
3.351387464691093598e-04 3.351387464691093598e-04 1.766109163816252366e-04
3.351387464691093598e-04 3.351387464691093598e-04 1.595873890645933021e-04
3.351387464691093598e-04 3.351387464691093598e-04 1.453712918374660190e-04
3.351387464691093598e-04 2.838588656719959516e-04 2.838588656719959516e-04
3.351387464691093598e-04 2.838588656719959516e-04 2.485149835082696977e-04
3.351387464691093598e-04 2.838588656719959516e-04 2.195909346477853310e-04
3.351387464691093598e-04 2.838588656719959516e-04 1.966081629087492063e-04
3.351387464691093598e-04 2.838588656719959516e-04 1.766109163816252366e-04
3.351387464691093598e-04 2.838588656719959516e-04 1.595873890645933021e-04
3.351387464691093598e-04 2.838588656719959516e-04 1.453712918374660190e-04
3.351387464691093598e-04 2.838588656719959516e-04 1.340990000005143367e-04
3.351387464691093598e-04 2.485149835082696977e-04 2.485149835082696977e-04
3.351387464691093598e-04 2.485149835082696977e-04 2.195909346477853310e-04
3.351387464691093598e-04 2.485149835082696977e-04 1.966081629087492063e-04
3.351387464691093598e-04 2.485149835082696977e-04 1.766109163816252366e-04
3.351387464691093598e-04 2.485149835082696977e-04 1.595873890645933021e-04
3.351387464691093598e-04 2.485149835082696977e-04 1.453712918374660190e-04
3.351387464691093598e-04 2.485149835082696977e-04 1.340990000005143367e-04
3.351387464691093598e-04 2.485149835082696977e-04 1.254168242998277970e-04
3.351387464691093598e-04 2.195909346477853310e-04 2.195909346477853310e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.966081629087492063e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.766109163816252366e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.595873890645933021e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.453712918374660190e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.340990000005143367e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.254168242998277970e-04
3.351387464691093598e-04 2.195909346477853310e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.966081629087492063e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.766109163816252366e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.595873890645933021e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.453712918374660190e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.340990000005143367e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.254168242998277970e-04
3.351387464691093598e-04 1.966081629087492063e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.766109163816252366e-04 1.766109163816252366e-04
3.351387464691093598e-04 1.766109163816252366e-04 1.595873890645933021e-04
3.351387464691093598e-04 1.766109163816252366e-04 1.453712918374660190e-04
3.351387464691093598e-04 1.766109163816252366e-04 1.340990000005143367e-04
3.351387464691093598e-04 1.766109163816252366e-04 1.254168242998277970e-04
3.351387464691093598e-04 1.766109163816252366e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.595873890645933021e-04 1.595873890645933021e-04
3.351387464691093598e-04 1.595873890645933021e-04 1.453712918374660190e-04
3.351387464691093598e-04 1.595873890645933021e-04 1.340990000005143367e-04
3.351387464691093598e-04 1.595873890645933021e-04 1.254168242998277970e-04
3.351387464691093598e-04 1.595873890645933021e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.453712918374660190e-04 1.453712918374660190e-04
3.351387464691093598e-04 1.453712918374660190e-04 1.340990000005143367e-04
3.351387464691093598e-04 1.453712918374660190e-04 1.254168242998277970e-04
3.351387464691093598e-04 1.453712918374660190e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.340990000005143367e-04 1.340990000005143367e-04
3.351387464691093598e-04 1.340990000005143367e-04 1.254168242998277970e-04
3.351387464691093598e-04 1.340990000005143367e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.254168242998277970e-04 1.254168242998277970e-04
3.351387464691093598e-04 1.254168242998277970e-04 1.189120921888094724e-04
3.351387464691093598e-04 1.189120921888094724e-04 1.189120921888094724e-04
2.838588656719959516e-04 2.838588656719959516e-04 2.838588656719959516e-04
2.838588656719959516e-04 2.838588656719959516e-04 2.485149835082696977e-04
2.838588656719959516e-04 2.838588656719959516e-04 2.195909346477853310e-04
2.838588656719959516e-04 2.838588656719959516e-04 1.966081629087492063e-04
2.838588656719959516e-04 2.838588656719959516e-04 1.766109163816252366e-04
2.838588656719959516e-04 2.838588656719959516e-04 1.595873890645933021e-04
2.838588656719959516e-04 2.838588656719959516e-04 1.453712918374660190e-04
2.838588656719959516e-04 2.838588656719959516e-04 1.340990000005143367e-04
2.838588656719959516e-04 2.838588656719959516e-04 1.254168242998277970e-04
2.838588656719959516e-04 2.485149835082696977e-04 2.485149835082696977e-04
2.838588656719959516e-04 2.485149835082696977e-04 2.195909346477853310e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.966081629087492063e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.766109163816252366e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.595873890645933021e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.453712918374660190e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.340990000005143367e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.254168242998277970e-04
2.838588656719959516e-04 2.485149835082696977e-04 1.189120921888094724e-04
2.838588656719959516e-04 2.195909346477853310e-04 2.195909346477853310e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.966081629087492063e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.766109163816252366e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.595873890645933021e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.453712918374660190e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.340990000005143367e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.254168242998277970e-04
2.838588656719959516e-04 2.195909346477853310e-04 1.189120921888094724e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.966081629087492063e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.766109163816252366e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.595873890645933021e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.453712918374660190e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.340990000005143367e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.254168242998277970e-04
2.838588656719959516e-04 1.966081629087492063e-04 1.189120921888094724e-04
2.838588656719959516e-04 1.766109163816252366e-04 1.766109163816252366e-04
2.838588656719959516e-04 1.766109163816252366e-04 1.595873890645933021e-04
2.838588656719959516e-04 1.766109163816252366e-04 1.453712918374660190e-04
2.838588656719959516e-04 1.766109163816252366e-04 1.340990000005143367e-04
2.838588656719959516e-04 1.766109163816252366e-04 1.254168242998277970e-04
