# (k1,k2,k3) at z_eff=1.4677 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input/models/k_eff-bisp.txt 
#  Minv(k1) Minv(k2) Minv(k3)
1.580460859376478077e-03 2.822414662546885280e-04 2.183398783741290043e-04
1.580460859376478077e-03 2.822414662546885280e-04 1.954880916555051080e-04
1.580460859376478077e-03 2.470990696318799335e-04 2.470990696318799335e-04
1.580460859376478077e-03 2.470990696318799335e-04 2.183398783741290043e-04
1.580460859376478077e-03 2.470990696318799335e-04 1.954880916555051080e-04
1.580460859376478077e-03 2.470990696318799335e-04 1.756048010845225233e-04
1.580460859376478077e-03 2.183398783741290043e-04 2.183398783741290043e-04
1.580460859376478077e-03 2.183398783741290043e-04 1.954880916555051080e-04
1.580460859376478077e-03 2.183398783741290043e-04 1.756048010845225233e-04
1.580460859376478077e-03 2.183398783741290043e-04 1.586782766895621457e-04
1.580460859376478077e-03 1.954880916555051080e-04 1.954880916555051080e-04
1.580460859376478077e-03 1.954880916555051080e-04 1.756048010845225233e-04
1.580460859376478077e-03 1.954880916555051080e-04 1.586782766895621457e-04
1.580460859376478077e-03 1.954880916555051080e-04 1.445431802579995415e-04
1.580460859376478077e-03 1.756048010845225233e-04 1.756048010845225233e-04
1.580460859376478077e-03 1.756048010845225233e-04 1.586782766895621457e-04
1.580460859376478077e-03 1.756048010845225233e-04 1.445431802579995415e-04
1.580460859376478077e-03 1.756048010845225233e-04 1.333351144954439654e-04
1.580460859376478077e-03 1.586782766895621457e-04 1.586782766895621457e-04
1.580460859376478077e-03 1.586782766895621457e-04 1.445431802579995415e-04
1.580460859376478077e-03 1.586782766895621457e-04 1.333351144954439654e-04
1.580460859376478077e-03 1.586782766895621457e-04 1.247024063414284680e-04
1.580460859376478077e-03 1.445431802579995415e-04 1.445431802579995415e-04
1.580460859376478077e-03 1.445431802579995415e-04 1.333351144954439654e-04
1.580460859376478077e-03 1.445431802579995415e-04 1.247024063414284680e-04
1.580460859376478077e-03 1.445431802579995415e-04 1.182347354157924654e-04
1.580460859376478077e-03 1.333351144954439654e-04 1.333351144954439654e-04
1.580460859376478077e-03 1.333351144954439654e-04 1.247024063414284680e-04
1.580460859376478077e-03 1.333351144954439654e-04 1.182347354157924654e-04
1.580460859376478077e-03 1.247024063414284680e-04 1.247024063414284680e-04
1.580460859376478077e-03 1.247024063414284680e-04 1.182347354157924654e-04
1.580460859376478077e-03 1.182347354157924654e-04 1.182347354157924654e-04
8.403070164794044193e-04 8.403070164794044193e-04 8.403070164794044193e-04
8.403070164794044193e-04 8.403070164794044193e-04 5.549516733460977715e-04
8.403070164794044193e-04 8.403070164794044193e-04 4.141367836614279121e-04
8.403070164794044193e-04 8.403070164794044193e-04 3.332289826387483398e-04
8.403070164794044193e-04 8.403070164794044193e-04 2.822414662546885280e-04
8.403070164794044193e-04 5.549516733460977715e-04 5.549516733460977715e-04
8.403070164794044193e-04 5.549516733460977715e-04 4.141367836614279121e-04
8.403070164794044193e-04 5.549516733460977715e-04 3.332289826387483398e-04
8.403070164794044193e-04 5.549516733460977715e-04 2.822414662546885280e-04
8.403070164794044193e-04 5.549516733460977715e-04 2.470990696318799335e-04
8.403070164794044193e-04 4.141367836614279121e-04 4.141367836614279121e-04
8.403070164794044193e-04 4.141367836614279121e-04 3.332289826387483398e-04
8.403070164794044193e-04 4.141367836614279121e-04 2.822414662546885280e-04
8.403070164794044193e-04 4.141367836614279121e-04 2.470990696318799335e-04
8.403070164794044193e-04 4.141367836614279121e-04 2.183398783741290043e-04
8.403070164794044193e-04 3.332289826387483398e-04 3.332289826387483398e-04
8.403070164794044193e-04 3.332289826387483398e-04 2.822414662546885280e-04
8.403070164794044193e-04 3.332289826387483398e-04 2.470990696318799335e-04
8.403070164794044193e-04 3.332289826387483398e-04 2.183398783741290043e-04
8.403070164794044193e-04 3.332289826387483398e-04 1.954880916555051080e-04
8.403070164794044193e-04 2.822414662546885280e-04 2.822414662546885280e-04
8.403070164794044193e-04 2.822414662546885280e-04 2.470990696318799335e-04
8.403070164794044193e-04 2.822414662546885280e-04 2.183398783741290043e-04
8.403070164794044193e-04 2.822414662546885280e-04 1.954880916555051080e-04
8.403070164794044193e-04 2.822414662546885280e-04 1.756048010845225233e-04
8.403070164794044193e-04 2.470990696318799335e-04 2.470990696318799335e-04
8.403070164794044193e-04 2.470990696318799335e-04 2.183398783741290043e-04
8.403070164794044193e-04 2.470990696318799335e-04 1.954880916555051080e-04
8.403070164794044193e-04 2.470990696318799335e-04 1.756048010845225233e-04
8.403070164794044193e-04 2.470990696318799335e-04 1.586782766895621457e-04
8.403070164794044193e-04 2.183398783741290043e-04 2.183398783741290043e-04
8.403070164794044193e-04 2.183398783741290043e-04 1.954880916555051080e-04
8.403070164794044193e-04 2.183398783741290043e-04 1.756048010845225233e-04
8.403070164794044193e-04 2.183398783741290043e-04 1.586782766895621457e-04
8.403070164794044193e-04 2.183398783741290043e-04 1.445431802579995415e-04
8.403070164794044193e-04 1.954880916555051080e-04 1.954880916555051080e-04
8.403070164794044193e-04 1.954880916555051080e-04 1.756048010845225233e-04
8.403070164794044193e-04 1.954880916555051080e-04 1.586782766895621457e-04
8.403070164794044193e-04 1.954880916555051080e-04 1.445431802579995415e-04
8.403070164794044193e-04 1.954880916555051080e-04 1.333351144954439654e-04
8.403070164794044193e-04 1.756048010845225233e-04 1.756048010845225233e-04
8.403070164794044193e-04 1.756048010845225233e-04 1.586782766895621457e-04
8.403070164794044193e-04 1.756048010845225233e-04 1.445431802579995415e-04
8.403070164794044193e-04 1.756048010845225233e-04 1.333351144954439654e-04
8.403070164794044193e-04 1.756048010845225233e-04 1.247024063414284680e-04
8.403070164794044193e-04 1.586782766895621457e-04 1.586782766895621457e-04
8.403070164794044193e-04 1.586782766895621457e-04 1.445431802579995415e-04
8.403070164794044193e-04 1.586782766895621457e-04 1.333351144954439654e-04
8.403070164794044193e-04 1.586782766895621457e-04 1.247024063414284680e-04
8.403070164794044193e-04 1.586782766895621457e-04 1.182347354157924654e-04
8.403070164794044193e-04 1.445431802579995415e-04 1.445431802579995415e-04
8.403070164794044193e-04 1.445431802579995415e-04 1.333351144954439654e-04
8.403070164794044193e-04 1.445431802579995415e-04 1.247024063414284680e-04
8.403070164794044193e-04 1.445431802579995415e-04 1.182347354157924654e-04
8.403070164794044193e-04 1.333351144954439654e-04 1.333351144954439654e-04
8.403070164794044193e-04 1.333351144954439654e-04 1.247024063414284680e-04
8.403070164794044193e-04 1.333351144954439654e-04 1.182347354157924654e-04
8.403070164794044193e-04 1.247024063414284680e-04 1.247024063414284680e-04
8.403070164794044193e-04 1.247024063414284680e-04 1.182347354157924654e-04
8.403070164794044193e-04 1.182347354157924654e-04 1.182347354157924654e-04
5.549516733460977715e-04 5.549516733460977715e-04 5.549516733460977715e-04
5.549516733460977715e-04 5.549516733460977715e-04 4.141367836614279121e-04
5.549516733460977715e-04 5.549516733460977715e-04 3.332289826387483398e-04
5.549516733460977715e-04 5.549516733460977715e-04 2.822414662546885280e-04
5.549516733460977715e-04 5.549516733460977715e-04 2.470990696318799335e-04
5.549516733460977715e-04 5.549516733460977715e-04 2.183398783741290043e-04
5.549516733460977715e-04 4.141367836614279121e-04 4.141367836614279121e-04
5.549516733460977715e-04 4.141367836614279121e-04 3.332289826387483398e-04
5.549516733460977715e-04 4.141367836614279121e-04 2.822414662546885280e-04
5.549516733460977715e-04 4.141367836614279121e-04 2.470990696318799335e-04
5.549516733460977715e-04 4.141367836614279121e-04 2.183398783741290043e-04
5.549516733460977715e-04 4.141367836614279121e-04 1.954880916555051080e-04
5.549516733460977715e-04 3.332289826387483398e-04 3.332289826387483398e-04
5.549516733460977715e-04 3.332289826387483398e-04 2.822414662546885280e-04
5.549516733460977715e-04 3.332289826387483398e-04 2.470990696318799335e-04
5.549516733460977715e-04 3.332289826387483398e-04 2.183398783741290043e-04
5.549516733460977715e-04 3.332289826387483398e-04 1.954880916555051080e-04
5.549516733460977715e-04 3.332289826387483398e-04 1.756048010845225233e-04
5.549516733460977715e-04 2.822414662546885280e-04 2.822414662546885280e-04
5.549516733460977715e-04 2.822414662546885280e-04 2.470990696318799335e-04
5.549516733460977715e-04 2.822414662546885280e-04 2.183398783741290043e-04
5.549516733460977715e-04 2.822414662546885280e-04 1.954880916555051080e-04
5.549516733460977715e-04 2.822414662546885280e-04 1.756048010845225233e-04
5.549516733460977715e-04 2.822414662546885280e-04 1.586782766895621457e-04
5.549516733460977715e-04 2.470990696318799335e-04 2.470990696318799335e-04
5.549516733460977715e-04 2.470990696318799335e-04 2.183398783741290043e-04
5.549516733460977715e-04 2.470990696318799335e-04 1.954880916555051080e-04
5.549516733460977715e-04 2.470990696318799335e-04 1.756048010845225233e-04
5.549516733460977715e-04 2.470990696318799335e-04 1.586782766895621457e-04
5.549516733460977715e-04 2.470990696318799335e-04 1.445431802579995415e-04
5.549516733460977715e-04 2.183398783741290043e-04 2.183398783741290043e-04
5.549516733460977715e-04 2.183398783741290043e-04 1.954880916555051080e-04
5.549516733460977715e-04 2.183398783741290043e-04 1.756048010845225233e-04
5.549516733460977715e-04 2.183398783741290043e-04 1.586782766895621457e-04
5.549516733460977715e-04 2.183398783741290043e-04 1.445431802579995415e-04
5.549516733460977715e-04 2.183398783741290043e-04 1.333351144954439654e-04
5.549516733460977715e-04 1.954880916555051080e-04 1.954880916555051080e-04
5.549516733460977715e-04 1.954880916555051080e-04 1.756048010845225233e-04
5.549516733460977715e-04 1.954880916555051080e-04 1.586782766895621457e-04
5.549516733460977715e-04 1.954880916555051080e-04 1.445431802579995415e-04
5.549516733460977715e-04 1.954880916555051080e-04 1.333351144954439654e-04
5.549516733460977715e-04 1.954880916555051080e-04 1.247024063414284680e-04
5.549516733460977715e-04 1.756048010845225233e-04 1.756048010845225233e-04
5.549516733460977715e-04 1.756048010845225233e-04 1.586782766895621457e-04
5.549516733460977715e-04 1.756048010845225233e-04 1.445431802579995415e-04
5.549516733460977715e-04 1.756048010845225233e-04 1.333351144954439654e-04
5.549516733460977715e-04 1.756048010845225233e-04 1.247024063414284680e-04
5.549516733460977715e-04 1.756048010845225233e-04 1.182347354157924654e-04
5.549516733460977715e-04 1.586782766895621457e-04 1.586782766895621457e-04
5.549516733460977715e-04 1.586782766895621457e-04 1.445431802579995415e-04
5.549516733460977715e-04 1.586782766895621457e-04 1.333351144954439654e-04
5.549516733460977715e-04 1.586782766895621457e-04 1.247024063414284680e-04
5.549516733460977715e-04 1.586782766895621457e-04 1.182347354157924654e-04
5.549516733460977715e-04 1.445431802579995415e-04 1.445431802579995415e-04
5.549516733460977715e-04 1.445431802579995415e-04 1.333351144954439654e-04
5.549516733460977715e-04 1.445431802579995415e-04 1.247024063414284680e-04
5.549516733460977715e-04 1.445431802579995415e-04 1.182347354157924654e-04
5.549516733460977715e-04 1.333351144954439654e-04 1.333351144954439654e-04
5.549516733460977715e-04 1.333351144954439654e-04 1.247024063414284680e-04
5.549516733460977715e-04 1.333351144954439654e-04 1.182347354157924654e-04
5.549516733460977715e-04 1.247024063414284680e-04 1.247024063414284680e-04
5.549516733460977715e-04 1.247024063414284680e-04 1.182347354157924654e-04
5.549516733460977715e-04 1.182347354157924654e-04 1.182347354157924654e-04
4.141367836614279121e-04 4.141367836614279121e-04 4.141367836614279121e-04
4.141367836614279121e-04 4.141367836614279121e-04 3.332289826387483398e-04
4.141367836614279121e-04 4.141367836614279121e-04 2.822414662546885280e-04
4.141367836614279121e-04 4.141367836614279121e-04 2.470990696318799335e-04
4.141367836614279121e-04 4.141367836614279121e-04 2.183398783741290043e-04
4.141367836614279121e-04 4.141367836614279121e-04 1.954880916555051080e-04
4.141367836614279121e-04 4.141367836614279121e-04 1.756048010845225233e-04
4.141367836614279121e-04 3.332289826387483398e-04 3.332289826387483398e-04
4.141367836614279121e-04 3.332289826387483398e-04 2.822414662546885280e-04
4.141367836614279121e-04 3.332289826387483398e-04 2.470990696318799335e-04
4.141367836614279121e-04 3.332289826387483398e-04 2.183398783741290043e-04
4.141367836614279121e-04 3.332289826387483398e-04 1.954880916555051080e-04
4.141367836614279121e-04 3.332289826387483398e-04 1.756048010845225233e-04
4.141367836614279121e-04 3.332289826387483398e-04 1.586782766895621457e-04
4.141367836614279121e-04 2.822414662546885280e-04 2.822414662546885280e-04
4.141367836614279121e-04 2.822414662546885280e-04 2.470990696318799335e-04
4.141367836614279121e-04 2.822414662546885280e-04 2.183398783741290043e-04
4.141367836614279121e-04 2.822414662546885280e-04 1.954880916555051080e-04
4.141367836614279121e-04 2.822414662546885280e-04 1.756048010845225233e-04
4.141367836614279121e-04 2.822414662546885280e-04 1.586782766895621457e-04
4.141367836614279121e-04 2.822414662546885280e-04 1.445431802579995415e-04
4.141367836614279121e-04 2.470990696318799335e-04 2.470990696318799335e-04
4.141367836614279121e-04 2.470990696318799335e-04 2.183398783741290043e-04
4.141367836614279121e-04 2.470990696318799335e-04 1.954880916555051080e-04
4.141367836614279121e-04 2.470990696318799335e-04 1.756048010845225233e-04
4.141367836614279121e-04 2.470990696318799335e-04 1.586782766895621457e-04
4.141367836614279121e-04 2.470990696318799335e-04 1.445431802579995415e-04
4.141367836614279121e-04 2.470990696318799335e-04 1.333351144954439654e-04
4.141367836614279121e-04 2.183398783741290043e-04 2.183398783741290043e-04
4.141367836614279121e-04 2.183398783741290043e-04 1.954880916555051080e-04
4.141367836614279121e-04 2.183398783741290043e-04 1.756048010845225233e-04
4.141367836614279121e-04 2.183398783741290043e-04 1.586782766895621457e-04
4.141367836614279121e-04 2.183398783741290043e-04 1.445431802579995415e-04
4.141367836614279121e-04 2.183398783741290043e-04 1.333351144954439654e-04
4.141367836614279121e-04 2.183398783741290043e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.954880916555051080e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.756048010845225233e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.586782766895621457e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.445431802579995415e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.333351144954439654e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.954880916555051080e-04 1.182347354157924654e-04
4.141367836614279121e-04 1.756048010845225233e-04 1.756048010845225233e-04
4.141367836614279121e-04 1.756048010845225233e-04 1.586782766895621457e-04
4.141367836614279121e-04 1.756048010845225233e-04 1.445431802579995415e-04
4.141367836614279121e-04 1.756048010845225233e-04 1.333351144954439654e-04
4.141367836614279121e-04 1.756048010845225233e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.756048010845225233e-04 1.182347354157924654e-04
4.141367836614279121e-04 1.586782766895621457e-04 1.586782766895621457e-04
4.141367836614279121e-04 1.586782766895621457e-04 1.445431802579995415e-04
4.141367836614279121e-04 1.586782766895621457e-04 1.333351144954439654e-04
4.141367836614279121e-04 1.586782766895621457e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.586782766895621457e-04 1.182347354157924654e-04
4.141367836614279121e-04 1.445431802579995415e-04 1.445431802579995415e-04
4.141367836614279121e-04 1.445431802579995415e-04 1.333351144954439654e-04
4.141367836614279121e-04 1.445431802579995415e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.445431802579995415e-04 1.182347354157924654e-04
4.141367836614279121e-04 1.333351144954439654e-04 1.333351144954439654e-04
4.141367836614279121e-04 1.333351144954439654e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.333351144954439654e-04 1.182347354157924654e-04
4.141367836614279121e-04 1.247024063414284680e-04 1.247024063414284680e-04
4.141367836614279121e-04 1.247024063414284680e-04 1.182347354157924654e-04
4.141367836614279121e-04 1.182347354157924654e-04 1.182347354157924654e-04
3.332289826387483398e-04 3.332289826387483398e-04 3.332289826387483398e-04
3.332289826387483398e-04 3.332289826387483398e-04 2.822414662546885280e-04
3.332289826387483398e-04 3.332289826387483398e-04 2.470990696318799335e-04
3.332289826387483398e-04 3.332289826387483398e-04 2.183398783741290043e-04
3.332289826387483398e-04 3.332289826387483398e-04 1.954880916555051080e-04
3.332289826387483398e-04 3.332289826387483398e-04 1.756048010845225233e-04
3.332289826387483398e-04 3.332289826387483398e-04 1.586782766895621457e-04
3.332289826387483398e-04 3.332289826387483398e-04 1.445431802579995415e-04
3.332289826387483398e-04 2.822414662546885280e-04 2.822414662546885280e-04
3.332289826387483398e-04 2.822414662546885280e-04 2.470990696318799335e-04
3.332289826387483398e-04 2.822414662546885280e-04 2.183398783741290043e-04
3.332289826387483398e-04 2.822414662546885280e-04 1.954880916555051080e-04
3.332289826387483398e-04 2.822414662546885280e-04 1.756048010845225233e-04
3.332289826387483398e-04 2.822414662546885280e-04 1.586782766895621457e-04
3.332289826387483398e-04 2.822414662546885280e-04 1.445431802579995415e-04
3.332289826387483398e-04 2.822414662546885280e-04 1.333351144954439654e-04
3.332289826387483398e-04 2.470990696318799335e-04 2.470990696318799335e-04
3.332289826387483398e-04 2.470990696318799335e-04 2.183398783741290043e-04
3.332289826387483398e-04 2.470990696318799335e-04 1.954880916555051080e-04
3.332289826387483398e-04 2.470990696318799335e-04 1.756048010845225233e-04
3.332289826387483398e-04 2.470990696318799335e-04 1.586782766895621457e-04
3.332289826387483398e-04 2.470990696318799335e-04 1.445431802579995415e-04
3.332289826387483398e-04 2.470990696318799335e-04 1.333351144954439654e-04
3.332289826387483398e-04 2.470990696318799335e-04 1.247024063414284680e-04
3.332289826387483398e-04 2.183398783741290043e-04 2.183398783741290043e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.954880916555051080e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.756048010845225233e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.586782766895621457e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.445431802579995415e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.333351144954439654e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.247024063414284680e-04
3.332289826387483398e-04 2.183398783741290043e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.954880916555051080e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.756048010845225233e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.586782766895621457e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.445431802579995415e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.333351144954439654e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.247024063414284680e-04
3.332289826387483398e-04 1.954880916555051080e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.756048010845225233e-04 1.756048010845225233e-04
3.332289826387483398e-04 1.756048010845225233e-04 1.586782766895621457e-04
3.332289826387483398e-04 1.756048010845225233e-04 1.445431802579995415e-04
3.332289826387483398e-04 1.756048010845225233e-04 1.333351144954439654e-04
3.332289826387483398e-04 1.756048010845225233e-04 1.247024063414284680e-04
3.332289826387483398e-04 1.756048010845225233e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.586782766895621457e-04 1.586782766895621457e-04
3.332289826387483398e-04 1.586782766895621457e-04 1.445431802579995415e-04
3.332289826387483398e-04 1.586782766895621457e-04 1.333351144954439654e-04
3.332289826387483398e-04 1.586782766895621457e-04 1.247024063414284680e-04
3.332289826387483398e-04 1.586782766895621457e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.445431802579995415e-04 1.445431802579995415e-04
3.332289826387483398e-04 1.445431802579995415e-04 1.333351144954439654e-04
3.332289826387483398e-04 1.445431802579995415e-04 1.247024063414284680e-04
3.332289826387483398e-04 1.445431802579995415e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.333351144954439654e-04 1.333351144954439654e-04
3.332289826387483398e-04 1.333351144954439654e-04 1.247024063414284680e-04
3.332289826387483398e-04 1.333351144954439654e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.247024063414284680e-04 1.247024063414284680e-04
3.332289826387483398e-04 1.247024063414284680e-04 1.182347354157924654e-04
3.332289826387483398e-04 1.182347354157924654e-04 1.182347354157924654e-04
2.822414662546885280e-04 2.822414662546885280e-04 2.822414662546885280e-04
2.822414662546885280e-04 2.822414662546885280e-04 2.470990696318799335e-04
2.822414662546885280e-04 2.822414662546885280e-04 2.183398783741290043e-04
2.822414662546885280e-04 2.822414662546885280e-04 1.954880916555051080e-04
2.822414662546885280e-04 2.822414662546885280e-04 1.756048010845225233e-04
2.822414662546885280e-04 2.822414662546885280e-04 1.586782766895621457e-04
2.822414662546885280e-04 2.822414662546885280e-04 1.445431802579995415e-04
2.822414662546885280e-04 2.822414662546885280e-04 1.333351144954439654e-04
2.822414662546885280e-04 2.822414662546885280e-04 1.247024063414284680e-04
2.822414662546885280e-04 2.470990696318799335e-04 2.470990696318799335e-04
2.822414662546885280e-04 2.470990696318799335e-04 2.183398783741290043e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.954880916555051080e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.756048010845225233e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.586782766895621457e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.445431802579995415e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.333351144954439654e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.247024063414284680e-04
2.822414662546885280e-04 2.470990696318799335e-04 1.182347354157924654e-04
2.822414662546885280e-04 2.183398783741290043e-04 2.183398783741290043e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.954880916555051080e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.756048010845225233e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.586782766895621457e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.445431802579995415e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.333351144954439654e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.247024063414284680e-04
2.822414662546885280e-04 2.183398783741290043e-04 1.182347354157924654e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.954880916555051080e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.756048010845225233e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.586782766895621457e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.445431802579995415e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.333351144954439654e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.247024063414284680e-04
2.822414662546885280e-04 1.954880916555051080e-04 1.182347354157924654e-04
2.822414662546885280e-04 1.756048010845225233e-04 1.756048010845225233e-04
2.822414662546885280e-04 1.756048010845225233e-04 1.586782766895621457e-04
2.822414662546885280e-04 1.756048010845225233e-04 1.445431802579995415e-04
2.822414662546885280e-04 1.756048010845225233e-04 1.333351144954439654e-04
2.822414662546885280e-04 1.756048010845225233e-04 1.247024063414284680e-04
