# T(k1,k2,k3) at z_eff=1.4677 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
5.804977448020793851e-01 3.776784593251917288e-01 2.959907301344977815e-01
5.804977448020793851e-01 3.776784593251917288e-01 2.678890995716597945e-01
5.804977448020793851e-01 3.776784593251917288e-01 2.466815815749130170e-01
5.804977448020793851e-01 3.776784593251917288e-01 2.295303262061542948e-01
5.804977448020793851e-01 3.307929341036649484e-01 3.307929341036649484e-01
5.804977448020793851e-01 3.307929341036649484e-01 2.959907301344977815e-01
5.804977448020793851e-01 3.307929341036649484e-01 2.678890995716597945e-01
5.804977448020793851e-01 3.307929341036649484e-01 2.466815815749130170e-01
5.804977448020793851e-01 3.307929341036649484e-01 2.295303262061542948e-01
5.804977448020793851e-01 3.307929341036649484e-01 2.147914847021503981e-01
5.804977448020793851e-01 2.959907301344977815e-01 2.959907301344977815e-01
5.804977448020793851e-01 2.959907301344977815e-01 2.678890995716597945e-01
5.804977448020793851e-01 2.959907301344977815e-01 2.466815815749130170e-01
5.804977448020793851e-01 2.959907301344977815e-01 2.295303262061542948e-01
5.804977448020793851e-01 2.959907301344977815e-01 2.147914847021503981e-01
5.804977448020793851e-01 2.959907301344977815e-01 2.008255748806688501e-01
5.804977448020793851e-01 2.678890995716597945e-01 2.678890995716597945e-01
5.804977448020793851e-01 2.678890995716597945e-01 2.466815815749130170e-01
5.804977448020793851e-01 2.678890995716597945e-01 2.295303262061542948e-01
5.804977448020793851e-01 2.678890995716597945e-01 2.147914847021503981e-01
5.804977448020793851e-01 2.678890995716597945e-01 2.008255748806688501e-01
5.804977448020793851e-01 2.678890995716597945e-01 1.870761769652860285e-01
5.804977448020793851e-01 2.466815815749130170e-01 2.466815815749130170e-01
5.804977448020793851e-01 2.466815815749130170e-01 2.295303262061542948e-01
5.804977448020793851e-01 2.466815815749130170e-01 2.147914847021503981e-01
5.804977448020793851e-01 2.466815815749130170e-01 2.008255748806688501e-01
5.804977448020793851e-01 2.466815815749130170e-01 1.870761769652860285e-01
5.804977448020793851e-01 2.466815815749130170e-01 1.734276245153725804e-01
5.804977448020793851e-01 2.295303262061542948e-01 2.295303262061542948e-01
5.804977448020793851e-01 2.295303262061542948e-01 2.147914847021503981e-01
5.804977448020793851e-01 2.295303262061542948e-01 2.008255748806688501e-01
5.804977448020793851e-01 2.295303262061542948e-01 1.870761769652860285e-01
5.804977448020793851e-01 2.295303262061542948e-01 1.734276245153725804e-01
5.804977448020793851e-01 2.147914847021503981e-01 2.147914847021503981e-01
5.804977448020793851e-01 2.147914847021503981e-01 2.008255748806688501e-01
5.804977448020793851e-01 2.147914847021503981e-01 1.870761769652860285e-01
5.804977448020793851e-01 2.147914847021503981e-01 1.734276245153725804e-01
5.804977448020793851e-01 2.008255748806688501e-01 2.008255748806688501e-01
5.804977448020793851e-01 2.008255748806688501e-01 1.870761769652860285e-01
5.804977448020793851e-01 2.008255748806688501e-01 1.734276245153725804e-01
5.804977448020793851e-01 1.870761769652860285e-01 1.870761769652860285e-01
5.804977448020793851e-01 1.870761769652860285e-01 1.734276245153725804e-01
5.804977448020793851e-01 1.734276245153725804e-01 1.734276245153725804e-01
5.009826994857288218e-01 5.009826994857288218e-01 5.009826994857288218e-01
5.009826994857288218e-01 5.009826994857288218e-01 4.341968112523961754e-01
5.009826994857288218e-01 5.009826994857288218e-01 3.776784593251917288e-01
5.009826994857288218e-01 5.009826994857288218e-01 3.307929341036649484e-01
5.009826994857288218e-01 5.009826994857288218e-01 2.959907301344977815e-01
5.009826994857288218e-01 5.009826994857288218e-01 2.678890995716597945e-01
5.009826994857288218e-01 5.009826994857288218e-01 2.466815815749130170e-01
5.009826994857288218e-01 4.341968112523961754e-01 4.341968112523961754e-01
5.009826994857288218e-01 4.341968112523961754e-01 3.776784593251917288e-01
5.009826994857288218e-01 4.341968112523961754e-01 3.307929341036649484e-01
5.009826994857288218e-01 4.341968112523961754e-01 2.959907301344977815e-01
5.009826994857288218e-01 4.341968112523961754e-01 2.678890995716597945e-01
5.009826994857288218e-01 4.341968112523961754e-01 2.466815815749130170e-01
5.009826994857288218e-01 4.341968112523961754e-01 2.295303262061542948e-01
5.009826994857288218e-01 3.776784593251917288e-01 3.776784593251917288e-01
5.009826994857288218e-01 3.776784593251917288e-01 3.307929341036649484e-01
5.009826994857288218e-01 3.776784593251917288e-01 2.959907301344977815e-01
5.009826994857288218e-01 3.776784593251917288e-01 2.678890995716597945e-01
5.009826994857288218e-01 3.776784593251917288e-01 2.466815815749130170e-01
5.009826994857288218e-01 3.776784593251917288e-01 2.295303262061542948e-01
5.009826994857288218e-01 3.776784593251917288e-01 2.147914847021503981e-01
5.009826994857288218e-01 3.307929341036649484e-01 3.307929341036649484e-01
5.009826994857288218e-01 3.307929341036649484e-01 2.959907301344977815e-01
5.009826994857288218e-01 3.307929341036649484e-01 2.678890995716597945e-01
5.009826994857288218e-01 3.307929341036649484e-01 2.466815815749130170e-01
5.009826994857288218e-01 3.307929341036649484e-01 2.295303262061542948e-01
5.009826994857288218e-01 3.307929341036649484e-01 2.147914847021503981e-01
5.009826994857288218e-01 3.307929341036649484e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.959907301344977815e-01 2.959907301344977815e-01
5.009826994857288218e-01 2.959907301344977815e-01 2.678890995716597945e-01
5.009826994857288218e-01 2.959907301344977815e-01 2.466815815749130170e-01
5.009826994857288218e-01 2.959907301344977815e-01 2.295303262061542948e-01
5.009826994857288218e-01 2.959907301344977815e-01 2.147914847021503981e-01
5.009826994857288218e-01 2.959907301344977815e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.959907301344977815e-01 1.870761769652860285e-01
5.009826994857288218e-01 2.678890995716597945e-01 2.678890995716597945e-01
5.009826994857288218e-01 2.678890995716597945e-01 2.466815815749130170e-01
5.009826994857288218e-01 2.678890995716597945e-01 2.295303262061542948e-01
5.009826994857288218e-01 2.678890995716597945e-01 2.147914847021503981e-01
5.009826994857288218e-01 2.678890995716597945e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.678890995716597945e-01 1.870761769652860285e-01
5.009826994857288218e-01 2.678890995716597945e-01 1.734276245153725804e-01
5.009826994857288218e-01 2.466815815749130170e-01 2.466815815749130170e-01
5.009826994857288218e-01 2.466815815749130170e-01 2.295303262061542948e-01
5.009826994857288218e-01 2.466815815749130170e-01 2.147914847021503981e-01
5.009826994857288218e-01 2.466815815749130170e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.466815815749130170e-01 1.870761769652860285e-01
5.009826994857288218e-01 2.466815815749130170e-01 1.734276245153725804e-01
5.009826994857288218e-01 2.295303262061542948e-01 2.295303262061542948e-01
5.009826994857288218e-01 2.295303262061542948e-01 2.147914847021503981e-01
5.009826994857288218e-01 2.295303262061542948e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.295303262061542948e-01 1.870761769652860285e-01
5.009826994857288218e-01 2.295303262061542948e-01 1.734276245153725804e-01
5.009826994857288218e-01 2.147914847021503981e-01 2.147914847021503981e-01
5.009826994857288218e-01 2.147914847021503981e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.147914847021503981e-01 1.870761769652860285e-01
5.009826994857288218e-01 2.147914847021503981e-01 1.734276245153725804e-01
5.009826994857288218e-01 2.008255748806688501e-01 2.008255748806688501e-01
5.009826994857288218e-01 2.008255748806688501e-01 1.870761769652860285e-01
5.009826994857288218e-01 2.008255748806688501e-01 1.734276245153725804e-01
5.009826994857288218e-01 1.870761769652860285e-01 1.870761769652860285e-01
5.009826994857288218e-01 1.870761769652860285e-01 1.734276245153725804e-01
5.009826994857288218e-01 1.734276245153725804e-01 1.734276245153725804e-01
4.341968112523961754e-01 4.341968112523961754e-01 4.341968112523961754e-01
4.341968112523961754e-01 4.341968112523961754e-01 3.776784593251917288e-01
4.341968112523961754e-01 4.341968112523961754e-01 3.307929341036649484e-01
4.341968112523961754e-01 4.341968112523961754e-01 2.959907301344977815e-01
4.341968112523961754e-01 4.341968112523961754e-01 2.678890995716597945e-01
4.341968112523961754e-01 4.341968112523961754e-01 2.466815815749130170e-01
4.341968112523961754e-01 4.341968112523961754e-01 2.295303262061542948e-01
4.341968112523961754e-01 4.341968112523961754e-01 2.147914847021503981e-01
4.341968112523961754e-01 3.776784593251917288e-01 3.776784593251917288e-01
4.341968112523961754e-01 3.776784593251917288e-01 3.307929341036649484e-01
4.341968112523961754e-01 3.776784593251917288e-01 2.959907301344977815e-01
4.341968112523961754e-01 3.776784593251917288e-01 2.678890995716597945e-01
4.341968112523961754e-01 3.776784593251917288e-01 2.466815815749130170e-01
4.341968112523961754e-01 3.776784593251917288e-01 2.295303262061542948e-01
4.341968112523961754e-01 3.776784593251917288e-01 2.147914847021503981e-01
4.341968112523961754e-01 3.776784593251917288e-01 2.008255748806688501e-01
4.341968112523961754e-01 3.307929341036649484e-01 3.307929341036649484e-01
4.341968112523961754e-01 3.307929341036649484e-01 2.959907301344977815e-01
4.341968112523961754e-01 3.307929341036649484e-01 2.678890995716597945e-01
4.341968112523961754e-01 3.307929341036649484e-01 2.466815815749130170e-01
4.341968112523961754e-01 3.307929341036649484e-01 2.295303262061542948e-01
4.341968112523961754e-01 3.307929341036649484e-01 2.147914847021503981e-01
4.341968112523961754e-01 3.307929341036649484e-01 2.008255748806688501e-01
4.341968112523961754e-01 3.307929341036649484e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.959907301344977815e-01 2.959907301344977815e-01
4.341968112523961754e-01 2.959907301344977815e-01 2.678890995716597945e-01
4.341968112523961754e-01 2.959907301344977815e-01 2.466815815749130170e-01
4.341968112523961754e-01 2.959907301344977815e-01 2.295303262061542948e-01
4.341968112523961754e-01 2.959907301344977815e-01 2.147914847021503981e-01
4.341968112523961754e-01 2.959907301344977815e-01 2.008255748806688501e-01
4.341968112523961754e-01 2.959907301344977815e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.959907301344977815e-01 1.734276245153725804e-01
4.341968112523961754e-01 2.678890995716597945e-01 2.678890995716597945e-01
4.341968112523961754e-01 2.678890995716597945e-01 2.466815815749130170e-01
4.341968112523961754e-01 2.678890995716597945e-01 2.295303262061542948e-01
4.341968112523961754e-01 2.678890995716597945e-01 2.147914847021503981e-01
4.341968112523961754e-01 2.678890995716597945e-01 2.008255748806688501e-01
4.341968112523961754e-01 2.678890995716597945e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.678890995716597945e-01 1.734276245153725804e-01
4.341968112523961754e-01 2.466815815749130170e-01 2.466815815749130170e-01
4.341968112523961754e-01 2.466815815749130170e-01 2.295303262061542948e-01
4.341968112523961754e-01 2.466815815749130170e-01 2.147914847021503981e-01
4.341968112523961754e-01 2.466815815749130170e-01 2.008255748806688501e-01
4.341968112523961754e-01 2.466815815749130170e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.466815815749130170e-01 1.734276245153725804e-01
4.341968112523961754e-01 2.295303262061542948e-01 2.295303262061542948e-01
4.341968112523961754e-01 2.295303262061542948e-01 2.147914847021503981e-01
4.341968112523961754e-01 2.295303262061542948e-01 2.008255748806688501e-01
4.341968112523961754e-01 2.295303262061542948e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.295303262061542948e-01 1.734276245153725804e-01
4.341968112523961754e-01 2.147914847021503981e-01 2.147914847021503981e-01
4.341968112523961754e-01 2.147914847021503981e-01 2.008255748806688501e-01
4.341968112523961754e-01 2.147914847021503981e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.147914847021503981e-01 1.734276245153725804e-01
4.341968112523961754e-01 2.008255748806688501e-01 2.008255748806688501e-01
4.341968112523961754e-01 2.008255748806688501e-01 1.870761769652860285e-01
4.341968112523961754e-01 2.008255748806688501e-01 1.734276245153725804e-01
4.341968112523961754e-01 1.870761769652860285e-01 1.870761769652860285e-01
4.341968112523961754e-01 1.870761769652860285e-01 1.734276245153725804e-01
4.341968112523961754e-01 1.734276245153725804e-01 1.734276245153725804e-01
3.776784593251917288e-01 3.776784593251917288e-01 3.776784593251917288e-01
3.776784593251917288e-01 3.776784593251917288e-01 3.307929341036649484e-01
3.776784593251917288e-01 3.776784593251917288e-01 2.959907301344977815e-01
3.776784593251917288e-01 3.776784593251917288e-01 2.678890995716597945e-01
3.776784593251917288e-01 3.776784593251917288e-01 2.466815815749130170e-01
3.776784593251917288e-01 3.776784593251917288e-01 2.295303262061542948e-01
3.776784593251917288e-01 3.776784593251917288e-01 2.147914847021503981e-01
3.776784593251917288e-01 3.776784593251917288e-01 2.008255748806688501e-01
3.776784593251917288e-01 3.776784593251917288e-01 1.870761769652860285e-01
3.776784593251917288e-01 3.307929341036649484e-01 3.307929341036649484e-01
3.776784593251917288e-01 3.307929341036649484e-01 2.959907301344977815e-01
3.776784593251917288e-01 3.307929341036649484e-01 2.678890995716597945e-01
3.776784593251917288e-01 3.307929341036649484e-01 2.466815815749130170e-01
3.776784593251917288e-01 3.307929341036649484e-01 2.295303262061542948e-01
3.776784593251917288e-01 3.307929341036649484e-01 2.147914847021503981e-01
3.776784593251917288e-01 3.307929341036649484e-01 2.008255748806688501e-01
3.776784593251917288e-01 3.307929341036649484e-01 1.870761769652860285e-01
3.776784593251917288e-01 3.307929341036649484e-01 1.734276245153725804e-01
3.776784593251917288e-01 2.959907301344977815e-01 2.959907301344977815e-01
3.776784593251917288e-01 2.959907301344977815e-01 2.678890995716597945e-01
3.776784593251917288e-01 2.959907301344977815e-01 2.466815815749130170e-01
3.776784593251917288e-01 2.959907301344977815e-01 2.295303262061542948e-01
3.776784593251917288e-01 2.959907301344977815e-01 2.147914847021503981e-01
3.776784593251917288e-01 2.959907301344977815e-01 2.008255748806688501e-01
3.776784593251917288e-01 2.959907301344977815e-01 1.870761769652860285e-01
3.776784593251917288e-01 2.959907301344977815e-01 1.734276245153725804e-01
3.776784593251917288e-01 2.678890995716597945e-01 2.678890995716597945e-01
3.776784593251917288e-01 2.678890995716597945e-01 2.466815815749130170e-01
3.776784593251917288e-01 2.678890995716597945e-01 2.295303262061542948e-01
3.776784593251917288e-01 2.678890995716597945e-01 2.147914847021503981e-01
3.776784593251917288e-01 2.678890995716597945e-01 2.008255748806688501e-01
3.776784593251917288e-01 2.678890995716597945e-01 1.870761769652860285e-01
3.776784593251917288e-01 2.678890995716597945e-01 1.734276245153725804e-01
3.776784593251917288e-01 2.466815815749130170e-01 2.466815815749130170e-01
3.776784593251917288e-01 2.466815815749130170e-01 2.295303262061542948e-01
3.776784593251917288e-01 2.466815815749130170e-01 2.147914847021503981e-01
3.776784593251917288e-01 2.466815815749130170e-01 2.008255748806688501e-01
3.776784593251917288e-01 2.466815815749130170e-01 1.870761769652860285e-01
