# P_lin(k1,k2,k3) at z_eff=1.4677 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input/models/k_eff-bisp.txt 
#  P_lin(k1) P_lin(k2) P_lin(k3)
4.180625679003953337e+03 2.719987027914466580e+03 2.571968406735054486e+03
4.180625679003953337e+03 2.719987027914466580e+03 2.415482588405079241e+03
4.180625679003953337e+03 2.571968406735054486e+03 2.571968406735054486e+03
4.180625679003953337e+03 2.571968406735054486e+03 2.415482588405079241e+03
4.180625679003953337e+03 2.571968406735054486e+03 2.240075544904858361e+03
4.180625679003953337e+03 2.415482588405079241e+03 2.415482588405079241e+03
4.180625679003953337e+03 2.415482588405079241e+03 2.240075544904858361e+03
4.180625679003953337e+03 2.415482588405079241e+03 2.048354209051336056e+03
4.180625679003953337e+03 2.240075544904858361e+03 2.240075544904858361e+03
4.180625679003953337e+03 2.240075544904858361e+03 2.048354209051336056e+03
4.180625679003953337e+03 2.048354209051336056e+03 2.048354209051336056e+03
5.684223858536925945e+03 5.684223858536925945e+03 5.684223858536925945e+03
5.684223858536925945e+03 5.684223858536925945e+03 6.212408310324567537e+03
5.684223858536925945e+03 5.684223858536925945e+03 6.079972146945417080e+03
5.684223858536925945e+03 5.684223858536925945e+03 5.582522407565456888e+03
5.684223858536925945e+03 6.212408310324567537e+03 6.212408310324567537e+03
5.684223858536925945e+03 6.212408310324567537e+03 6.079972146945417080e+03
5.684223858536925945e+03 6.212408310324567537e+03 5.582522407565456888e+03
5.684223858536925945e+03 6.212408310324567537e+03 4.947055281904902586e+03
5.684223858536925945e+03 6.079972146945417080e+03 6.079972146945417080e+03
5.684223858536925945e+03 6.079972146945417080e+03 5.582522407565456888e+03
5.684223858536925945e+03 6.079972146945417080e+03 4.947055281904902586e+03
5.684223858536925945e+03 6.079972146945417080e+03 4.325902378491100535e+03
5.684223858536925945e+03 5.582522407565456888e+03 5.582522407565456888e+03
5.684223858536925945e+03 5.582522407565456888e+03 4.947055281904902586e+03
5.684223858536925945e+03 5.582522407565456888e+03 4.325902378491100535e+03
5.684223858536925945e+03 5.582522407565456888e+03 3.796863861494276080e+03
5.684223858536925945e+03 4.947055281904902586e+03 4.947055281904902586e+03
5.684223858536925945e+03 4.947055281904902586e+03 4.325902378491100535e+03
5.684223858536925945e+03 4.947055281904902586e+03 3.796863861494276080e+03
5.684223858536925945e+03 4.947055281904902586e+03 3.389260634203249083e+03
5.684223858536925945e+03 4.325902378491100535e+03 4.325902378491100535e+03
5.684223858536925945e+03 4.325902378491100535e+03 3.796863861494276080e+03
5.684223858536925945e+03 4.325902378491100535e+03 3.389260634203249083e+03
5.684223858536925945e+03 4.325902378491100535e+03 3.093848283658054243e+03
5.684223858536925945e+03 3.796863861494276080e+03 3.796863861494276080e+03
5.684223858536925945e+03 3.796863861494276080e+03 3.389260634203249083e+03
5.684223858536925945e+03 3.796863861494276080e+03 3.093848283658054243e+03
5.684223858536925945e+03 3.796863861494276080e+03 2.883031986521099952e+03
5.684223858536925945e+03 3.389260634203249083e+03 3.389260634203249083e+03
5.684223858536925945e+03 3.389260634203249083e+03 3.093848283658054243e+03
5.684223858536925945e+03 3.389260634203249083e+03 2.883031986521099952e+03
5.684223858536925945e+03 3.389260634203249083e+03 2.719987027914466580e+03
5.684223858536925945e+03 3.093848283658054243e+03 3.093848283658054243e+03
5.684223858536925945e+03 3.093848283658054243e+03 2.883031986521099952e+03
5.684223858536925945e+03 3.093848283658054243e+03 2.719987027914466580e+03
5.684223858536925945e+03 3.093848283658054243e+03 2.571968406735054486e+03
5.684223858536925945e+03 2.883031986521099952e+03 2.883031986521099952e+03
5.684223858536925945e+03 2.883031986521099952e+03 2.719987027914466580e+03
5.684223858536925945e+03 2.883031986521099952e+03 2.571968406735054486e+03
5.684223858536925945e+03 2.883031986521099952e+03 2.415482588405079241e+03
5.684223858536925945e+03 2.719987027914466580e+03 2.719987027914466580e+03
5.684223858536925945e+03 2.719987027914466580e+03 2.571968406735054486e+03
5.684223858536925945e+03 2.719987027914466580e+03 2.415482588405079241e+03
5.684223858536925945e+03 2.719987027914466580e+03 2.240075544904858361e+03
5.684223858536925945e+03 2.571968406735054486e+03 2.571968406735054486e+03
5.684223858536925945e+03 2.571968406735054486e+03 2.415482588405079241e+03
5.684223858536925945e+03 2.571968406735054486e+03 2.240075544904858361e+03
5.684223858536925945e+03 2.571968406735054486e+03 2.048354209051336056e+03
5.684223858536925945e+03 2.415482588405079241e+03 2.415482588405079241e+03
5.684223858536925945e+03 2.415482588405079241e+03 2.240075544904858361e+03
5.684223858536925945e+03 2.415482588405079241e+03 2.048354209051336056e+03
5.684223858536925945e+03 2.240075544904858361e+03 2.240075544904858361e+03
5.684223858536925945e+03 2.240075544904858361e+03 2.048354209051336056e+03
5.684223858536925945e+03 2.048354209051336056e+03 2.048354209051336056e+03
6.212408310324567537e+03 6.212408310324567537e+03 6.212408310324567537e+03
6.212408310324567537e+03 6.212408310324567537e+03 6.079972146945417080e+03
6.212408310324567537e+03 6.212408310324567537e+03 5.582522407565456888e+03
6.212408310324567537e+03 6.212408310324567537e+03 4.947055281904902586e+03
6.212408310324567537e+03 6.212408310324567537e+03 4.325902378491100535e+03
6.212408310324567537e+03 6.079972146945417080e+03 6.079972146945417080e+03
6.212408310324567537e+03 6.079972146945417080e+03 5.582522407565456888e+03
6.212408310324567537e+03 6.079972146945417080e+03 4.947055281904902586e+03
6.212408310324567537e+03 6.079972146945417080e+03 4.325902378491100535e+03
6.212408310324567537e+03 6.079972146945417080e+03 3.796863861494276080e+03
6.212408310324567537e+03 5.582522407565456888e+03 5.582522407565456888e+03
6.212408310324567537e+03 5.582522407565456888e+03 4.947055281904902586e+03
6.212408310324567537e+03 5.582522407565456888e+03 4.325902378491100535e+03
6.212408310324567537e+03 5.582522407565456888e+03 3.796863861494276080e+03
6.212408310324567537e+03 5.582522407565456888e+03 3.389260634203249083e+03
6.212408310324567537e+03 4.947055281904902586e+03 4.947055281904902586e+03
6.212408310324567537e+03 4.947055281904902586e+03 4.325902378491100535e+03
6.212408310324567537e+03 4.947055281904902586e+03 3.796863861494276080e+03
6.212408310324567537e+03 4.947055281904902586e+03 3.389260634203249083e+03
6.212408310324567537e+03 4.947055281904902586e+03 3.093848283658054243e+03
6.212408310324567537e+03 4.325902378491100535e+03 4.325902378491100535e+03
6.212408310324567537e+03 4.325902378491100535e+03 3.796863861494276080e+03
6.212408310324567537e+03 4.325902378491100535e+03 3.389260634203249083e+03
6.212408310324567537e+03 4.325902378491100535e+03 3.093848283658054243e+03
6.212408310324567537e+03 4.325902378491100535e+03 2.883031986521099952e+03
6.212408310324567537e+03 3.796863861494276080e+03 3.796863861494276080e+03
6.212408310324567537e+03 3.796863861494276080e+03 3.389260634203249083e+03
6.212408310324567537e+03 3.796863861494276080e+03 3.093848283658054243e+03
6.212408310324567537e+03 3.796863861494276080e+03 2.883031986521099952e+03
6.212408310324567537e+03 3.796863861494276080e+03 2.719987027914466580e+03
6.212408310324567537e+03 3.389260634203249083e+03 3.389260634203249083e+03
6.212408310324567537e+03 3.389260634203249083e+03 3.093848283658054243e+03
6.212408310324567537e+03 3.389260634203249083e+03 2.883031986521099952e+03
6.212408310324567537e+03 3.389260634203249083e+03 2.719987027914466580e+03
6.212408310324567537e+03 3.389260634203249083e+03 2.571968406735054486e+03
6.212408310324567537e+03 3.093848283658054243e+03 3.093848283658054243e+03
6.212408310324567537e+03 3.093848283658054243e+03 2.883031986521099952e+03
6.212408310324567537e+03 3.093848283658054243e+03 2.719987027914466580e+03
6.212408310324567537e+03 3.093848283658054243e+03 2.571968406735054486e+03
6.212408310324567537e+03 3.093848283658054243e+03 2.415482588405079241e+03
6.212408310324567537e+03 2.883031986521099952e+03 2.883031986521099952e+03
6.212408310324567537e+03 2.883031986521099952e+03 2.719987027914466580e+03
6.212408310324567537e+03 2.883031986521099952e+03 2.571968406735054486e+03
6.212408310324567537e+03 2.883031986521099952e+03 2.415482588405079241e+03
6.212408310324567537e+03 2.883031986521099952e+03 2.240075544904858361e+03
6.212408310324567537e+03 2.719987027914466580e+03 2.719987027914466580e+03
6.212408310324567537e+03 2.719987027914466580e+03 2.571968406735054486e+03
6.212408310324567537e+03 2.719987027914466580e+03 2.415482588405079241e+03
6.212408310324567537e+03 2.719987027914466580e+03 2.240075544904858361e+03
6.212408310324567537e+03 2.719987027914466580e+03 2.048354209051336056e+03
6.212408310324567537e+03 2.571968406735054486e+03 2.571968406735054486e+03
6.212408310324567537e+03 2.571968406735054486e+03 2.415482588405079241e+03
6.212408310324567537e+03 2.571968406735054486e+03 2.240075544904858361e+03
6.212408310324567537e+03 2.571968406735054486e+03 2.048354209051336056e+03
6.212408310324567537e+03 2.415482588405079241e+03 2.415482588405079241e+03
6.212408310324567537e+03 2.415482588405079241e+03 2.240075544904858361e+03
6.212408310324567537e+03 2.415482588405079241e+03 2.048354209051336056e+03
6.212408310324567537e+03 2.240075544904858361e+03 2.240075544904858361e+03
6.212408310324567537e+03 2.240075544904858361e+03 2.048354209051336056e+03
6.212408310324567537e+03 2.048354209051336056e+03 2.048354209051336056e+03
6.079972146945417080e+03 6.079972146945417080e+03 6.079972146945417080e+03
6.079972146945417080e+03 6.079972146945417080e+03 5.582522407565456888e+03
6.079972146945417080e+03 6.079972146945417080e+03 4.947055281904902586e+03
6.079972146945417080e+03 6.079972146945417080e+03 4.325902378491100535e+03
6.079972146945417080e+03 6.079972146945417080e+03 3.796863861494276080e+03
6.079972146945417080e+03 6.079972146945417080e+03 3.389260634203249083e+03
6.079972146945417080e+03 5.582522407565456888e+03 5.582522407565456888e+03
6.079972146945417080e+03 5.582522407565456888e+03 4.947055281904902586e+03
6.079972146945417080e+03 5.582522407565456888e+03 4.325902378491100535e+03
6.079972146945417080e+03 5.582522407565456888e+03 3.796863861494276080e+03
6.079972146945417080e+03 5.582522407565456888e+03 3.389260634203249083e+03
6.079972146945417080e+03 5.582522407565456888e+03 3.093848283658054243e+03
6.079972146945417080e+03 4.947055281904902586e+03 4.947055281904902586e+03
6.079972146945417080e+03 4.947055281904902586e+03 4.325902378491100535e+03
6.079972146945417080e+03 4.947055281904902586e+03 3.796863861494276080e+03
6.079972146945417080e+03 4.947055281904902586e+03 3.389260634203249083e+03
6.079972146945417080e+03 4.947055281904902586e+03 3.093848283658054243e+03
6.079972146945417080e+03 4.947055281904902586e+03 2.883031986521099952e+03
6.079972146945417080e+03 4.325902378491100535e+03 4.325902378491100535e+03
6.079972146945417080e+03 4.325902378491100535e+03 3.796863861494276080e+03
6.079972146945417080e+03 4.325902378491100535e+03 3.389260634203249083e+03
6.079972146945417080e+03 4.325902378491100535e+03 3.093848283658054243e+03
6.079972146945417080e+03 4.325902378491100535e+03 2.883031986521099952e+03
6.079972146945417080e+03 4.325902378491100535e+03 2.719987027914466580e+03
6.079972146945417080e+03 3.796863861494276080e+03 3.796863861494276080e+03
6.079972146945417080e+03 3.796863861494276080e+03 3.389260634203249083e+03
6.079972146945417080e+03 3.796863861494276080e+03 3.093848283658054243e+03
6.079972146945417080e+03 3.796863861494276080e+03 2.883031986521099952e+03
6.079972146945417080e+03 3.796863861494276080e+03 2.719987027914466580e+03
6.079972146945417080e+03 3.796863861494276080e+03 2.571968406735054486e+03
6.079972146945417080e+03 3.389260634203249083e+03 3.389260634203249083e+03
6.079972146945417080e+03 3.389260634203249083e+03 3.093848283658054243e+03
6.079972146945417080e+03 3.389260634203249083e+03 2.883031986521099952e+03
6.079972146945417080e+03 3.389260634203249083e+03 2.719987027914466580e+03
6.079972146945417080e+03 3.389260634203249083e+03 2.571968406735054486e+03
6.079972146945417080e+03 3.389260634203249083e+03 2.415482588405079241e+03
6.079972146945417080e+03 3.093848283658054243e+03 3.093848283658054243e+03
6.079972146945417080e+03 3.093848283658054243e+03 2.883031986521099952e+03
6.079972146945417080e+03 3.093848283658054243e+03 2.719987027914466580e+03
6.079972146945417080e+03 3.093848283658054243e+03 2.571968406735054486e+03
6.079972146945417080e+03 3.093848283658054243e+03 2.415482588405079241e+03
6.079972146945417080e+03 3.093848283658054243e+03 2.240075544904858361e+03
6.079972146945417080e+03 2.883031986521099952e+03 2.883031986521099952e+03
6.079972146945417080e+03 2.883031986521099952e+03 2.719987027914466580e+03
6.079972146945417080e+03 2.883031986521099952e+03 2.571968406735054486e+03
6.079972146945417080e+03 2.883031986521099952e+03 2.415482588405079241e+03
6.079972146945417080e+03 2.883031986521099952e+03 2.240075544904858361e+03
6.079972146945417080e+03 2.883031986521099952e+03 2.048354209051336056e+03
6.079972146945417080e+03 2.719987027914466580e+03 2.719987027914466580e+03
6.079972146945417080e+03 2.719987027914466580e+03 2.571968406735054486e+03
6.079972146945417080e+03 2.719987027914466580e+03 2.415482588405079241e+03
6.079972146945417080e+03 2.719987027914466580e+03 2.240075544904858361e+03
6.079972146945417080e+03 2.719987027914466580e+03 2.048354209051336056e+03
6.079972146945417080e+03 2.571968406735054486e+03 2.571968406735054486e+03
6.079972146945417080e+03 2.571968406735054486e+03 2.415482588405079241e+03
6.079972146945417080e+03 2.571968406735054486e+03 2.240075544904858361e+03
6.079972146945417080e+03 2.571968406735054486e+03 2.048354209051336056e+03
6.079972146945417080e+03 2.415482588405079241e+03 2.415482588405079241e+03
6.079972146945417080e+03 2.415482588405079241e+03 2.240075544904858361e+03
6.079972146945417080e+03 2.415482588405079241e+03 2.048354209051336056e+03
6.079972146945417080e+03 2.240075544904858361e+03 2.240075544904858361e+03
6.079972146945417080e+03 2.240075544904858361e+03 2.048354209051336056e+03
6.079972146945417080e+03 2.048354209051336056e+03 2.048354209051336056e+03
5.582522407565456888e+03 5.582522407565456888e+03 5.582522407565456888e+03
5.582522407565456888e+03 5.582522407565456888e+03 4.947055281904902586e+03
5.582522407565456888e+03 5.582522407565456888e+03 4.325902378491100535e+03
5.582522407565456888e+03 5.582522407565456888e+03 3.796863861494276080e+03
5.582522407565456888e+03 5.582522407565456888e+03 3.389260634203249083e+03
5.582522407565456888e+03 5.582522407565456888e+03 3.093848283658054243e+03
5.582522407565456888e+03 5.582522407565456888e+03 2.883031986521099952e+03
5.582522407565456888e+03 4.947055281904902586e+03 4.947055281904902586e+03
5.582522407565456888e+03 4.947055281904902586e+03 4.325902378491100535e+03
5.582522407565456888e+03 4.947055281904902586e+03 3.796863861494276080e+03
5.582522407565456888e+03 4.947055281904902586e+03 3.389260634203249083e+03
5.582522407565456888e+03 4.947055281904902586e+03 3.093848283658054243e+03
5.582522407565456888e+03 4.947055281904902586e+03 2.883031986521099952e+03
5.582522407565456888e+03 4.947055281904902586e+03 2.719987027914466580e+03
5.582522407565456888e+03 4.325902378491100535e+03 4.325902378491100535e+03
5.582522407565456888e+03 4.325902378491100535e+03 3.796863861494276080e+03
5.582522407565456888e+03 4.325902378491100535e+03 3.389260634203249083e+03
5.582522407565456888e+03 4.325902378491100535e+03 3.093848283658054243e+03
5.582522407565456888e+03 4.325902378491100535e+03 2.883031986521099952e+03
5.582522407565456888e+03 4.325902378491100535e+03 2.719987027914466580e+03
5.582522407565456888e+03 4.325902378491100535e+03 2.571968406735054486e+03
5.582522407565456888e+03 3.796863861494276080e+03 3.796863861494276080e+03
5.582522407565456888e+03 3.796863861494276080e+03 3.389260634203249083e+03
5.582522407565456888e+03 3.796863861494276080e+03 3.093848283658054243e+03
5.582522407565456888e+03 3.796863861494276080e+03 2.883031986521099952e+03
5.582522407565456888e+03 3.796863861494276080e+03 2.719987027914466580e+03
5.582522407565456888e+03 3.796863861494276080e+03 2.571968406735054486e+03
5.582522407565456888e+03 3.796863861494276080e+03 2.415482588405079241e+03
5.582522407565456888e+03 3.389260634203249083e+03 3.389260634203249083e+03
5.582522407565456888e+03 3.389260634203249083e+03 3.093848283658054243e+03
5.582522407565456888e+03 3.389260634203249083e+03 2.883031986521099952e+03
5.582522407565456888e+03 3.389260634203249083e+03 2.719987027914466580e+03
5.582522407565456888e+03 3.389260634203249083e+03 2.571968406735054486e+03
5.582522407565456888e+03 3.389260634203249083e+03 2.415482588405079241e+03
5.582522407565456888e+03 3.389260634203249083e+03 2.240075544904858361e+03
5.582522407565456888e+03 3.093848283658054243e+03 3.093848283658054243e+03
5.582522407565456888e+03 3.093848283658054243e+03 2.883031986521099952e+03
5.582522407565456888e+03 3.093848283658054243e+03 2.719987027914466580e+03
5.582522407565456888e+03 3.093848283658054243e+03 2.571968406735054486e+03
5.582522407565456888e+03 3.093848283658054243e+03 2.415482588405079241e+03
5.582522407565456888e+03 3.093848283658054243e+03 2.240075544904858361e+03
5.582522407565456888e+03 3.093848283658054243e+03 2.048354209051336056e+03
5.582522407565456888e+03 2.883031986521099952e+03 2.883031986521099952e+03
5.582522407565456888e+03 2.883031986521099952e+03 2.719987027914466580e+03
5.582522407565456888e+03 2.883031986521099952e+03 2.571968406735054486e+03
5.582522407565456888e+03 2.883031986521099952e+03 2.415482588405079241e+03
5.582522407565456888e+03 2.883031986521099952e+03 2.240075544904858361e+03
5.582522407565456888e+03 2.883031986521099952e+03 2.048354209051336056e+03
5.582522407565456888e+03 2.719987027914466580e+03 2.719987027914466580e+03
5.582522407565456888e+03 2.719987027914466580e+03 2.571968406735054486e+03
5.582522407565456888e+03 2.719987027914466580e+03 2.415482588405079241e+03
5.582522407565456888e+03 2.719987027914466580e+03 2.240075544904858361e+03
5.582522407565456888e+03 2.719987027914466580e+03 2.048354209051336056e+03
5.582522407565456888e+03 2.571968406735054486e+03 2.571968406735054486e+03
5.582522407565456888e+03 2.571968406735054486e+03 2.415482588405079241e+03
5.582522407565456888e+03 2.571968406735054486e+03 2.240075544904858361e+03
5.582522407565456888e+03 2.571968406735054486e+03 2.048354209051336056e+03
5.582522407565456888e+03 2.415482588405079241e+03 2.415482588405079241e+03
5.582522407565456888e+03 2.415482588405079241e+03 2.240075544904858361e+03
5.582522407565456888e+03 2.415482588405079241e+03 2.048354209051336056e+03
5.582522407565456888e+03 2.240075544904858361e+03 2.240075544904858361e+03
5.582522407565456888e+03 2.240075544904858361e+03 2.048354209051336056e+03
5.582522407565456888e+03 2.048354209051336056e+03 2.048354209051336056e+03
4.947055281904902586e+03 4.947055281904902586e+03 4.947055281904902586e+03
4.947055281904902586e+03 4.947055281904902586e+03 4.325902378491100535e+03
4.947055281904902586e+03 4.947055281904902586e+03 3.796863861494276080e+03
4.947055281904902586e+03 4.947055281904902586e+03 3.389260634203249083e+03
4.947055281904902586e+03 4.947055281904902586e+03 3.093848283658054243e+03
4.947055281904902586e+03 4.947055281904902586e+03 2.883031986521099952e+03
4.947055281904902586e+03 4.947055281904902586e+03 2.719987027914466580e+03
4.947055281904902586e+03 4.947055281904902586e+03 2.571968406735054486e+03
4.947055281904902586e+03 4.325902378491100535e+03 4.325902378491100535e+03
4.947055281904902586e+03 4.325902378491100535e+03 3.796863861494276080e+03
4.947055281904902586e+03 4.325902378491100535e+03 3.389260634203249083e+03
4.947055281904902586e+03 4.325902378491100535e+03 3.093848283658054243e+03
4.947055281904902586e+03 4.325902378491100535e+03 2.883031986521099952e+03
4.947055281904902586e+03 4.325902378491100535e+03 2.719987027914466580e+03
4.947055281904902586e+03 4.325902378491100535e+03 2.571968406735054486e+03
4.947055281904902586e+03 4.325902378491100535e+03 2.415482588405079241e+03
4.947055281904902586e+03 3.796863861494276080e+03 3.796863861494276080e+03
4.947055281904902586e+03 3.796863861494276080e+03 3.389260634203249083e+03
4.947055281904902586e+03 3.796863861494276080e+03 3.093848283658054243e+03
4.947055281904902586e+03 3.796863861494276080e+03 2.883031986521099952e+03
4.947055281904902586e+03 3.796863861494276080e+03 2.719987027914466580e+03
4.947055281904902586e+03 3.796863861494276080e+03 2.571968406735054486e+03
4.947055281904902586e+03 3.796863861494276080e+03 2.415482588405079241e+03
4.947055281904902586e+03 3.796863861494276080e+03 2.240075544904858361e+03
4.947055281904902586e+03 3.389260634203249083e+03 3.389260634203249083e+03
4.947055281904902586e+03 3.389260634203249083e+03 3.093848283658054243e+03
4.947055281904902586e+03 3.389260634203249083e+03 2.883031986521099952e+03
4.947055281904902586e+03 3.389260634203249083e+03 2.719987027914466580e+03
4.947055281904902586e+03 3.389260634203249083e+03 2.571968406735054486e+03
4.947055281904902586e+03 3.389260634203249083e+03 2.415482588405079241e+03
4.947055281904902586e+03 3.389260634203249083e+03 2.240075544904858361e+03
4.947055281904902586e+03 3.389260634203249083e+03 2.048354209051336056e+03
4.947055281904902586e+03 3.093848283658054243e+03 3.093848283658054243e+03
4.947055281904902586e+03 3.093848283658054243e+03 2.883031986521099952e+03
4.947055281904902586e+03 3.093848283658054243e+03 2.719987027914466580e+03
4.947055281904902586e+03 3.093848283658054243e+03 2.571968406735054486e+03
4.947055281904902586e+03 3.093848283658054243e+03 2.415482588405079241e+03
4.947055281904902586e+03 3.093848283658054243e+03 2.240075544904858361e+03
4.947055281904902586e+03 3.093848283658054243e+03 2.048354209051336056e+03
4.947055281904902586e+03 2.883031986521099952e+03 2.883031986521099952e+03
4.947055281904902586e+03 2.883031986521099952e+03 2.719987027914466580e+03
4.947055281904902586e+03 2.883031986521099952e+03 2.571968406735054486e+03
4.947055281904902586e+03 2.883031986521099952e+03 2.415482588405079241e+03
4.947055281904902586e+03 2.883031986521099952e+03 2.240075544904858361e+03
4.947055281904902586e+03 2.883031986521099952e+03 2.048354209051336056e+03
4.947055281904902586e+03 2.719987027914466580e+03 2.719987027914466580e+03
4.947055281904902586e+03 2.719987027914466580e+03 2.571968406735054486e+03
4.947055281904902586e+03 2.719987027914466580e+03 2.415482588405079241e+03
4.947055281904902586e+03 2.719987027914466580e+03 2.240075544904858361e+03
4.947055281904902586e+03 2.719987027914466580e+03 2.048354209051336056e+03
4.947055281904902586e+03 2.571968406735054486e+03 2.571968406735054486e+03
4.947055281904902586e+03 2.571968406735054486e+03 2.415482588405079241e+03
4.947055281904902586e+03 2.571968406735054486e+03 2.240075544904858361e+03
4.947055281904902586e+03 2.571968406735054486e+03 2.048354209051336056e+03
4.947055281904902586e+03 2.415482588405079241e+03 2.415482588405079241e+03
4.947055281904902586e+03 2.415482588405079241e+03 2.240075544904858361e+03
4.947055281904902586e+03 2.415482588405079241e+03 2.048354209051336056e+03
4.947055281904902586e+03 2.240075544904858361e+03 2.240075544904858361e+03
4.947055281904902586e+03 2.240075544904858361e+03 2.048354209051336056e+03
4.947055281904902586e+03 2.048354209051336056e+03 2.048354209051336056e+03
4.325902378491100535e+03 4.325902378491100535e+03 4.325902378491100535e+03
4.325902378491100535e+03 4.325902378491100535e+03 3.796863861494276080e+03
4.325902378491100535e+03 4.325902378491100535e+03 3.389260634203249083e+03
4.325902378491100535e+03 4.325902378491100535e+03 3.093848283658054243e+03
4.325902378491100535e+03 4.325902378491100535e+03 2.883031986521099952e+03
4.325902378491100535e+03 4.325902378491100535e+03 2.719987027914466580e+03
4.325902378491100535e+03 4.325902378491100535e+03 2.571968406735054486e+03
4.325902378491100535e+03 4.325902378491100535e+03 2.415482588405079241e+03
4.325902378491100535e+03 4.325902378491100535e+03 2.240075544904858361e+03
4.325902378491100535e+03 3.796863861494276080e+03 3.796863861494276080e+03
4.325902378491100535e+03 3.796863861494276080e+03 3.389260634203249083e+03
4.325902378491100535e+03 3.796863861494276080e+03 3.093848283658054243e+03
4.325902378491100535e+03 3.796863861494276080e+03 2.883031986521099952e+03
4.325902378491100535e+03 3.796863861494276080e+03 2.719987027914466580e+03
4.325902378491100535e+03 3.796863861494276080e+03 2.571968406735054486e+03
4.325902378491100535e+03 3.796863861494276080e+03 2.415482588405079241e+03
4.325902378491100535e+03 3.796863861494276080e+03 2.240075544904858361e+03
4.325902378491100535e+03 3.796863861494276080e+03 2.048354209051336056e+03
4.325902378491100535e+03 3.389260634203249083e+03 3.389260634203249083e+03
4.325902378491100535e+03 3.389260634203249083e+03 3.093848283658054243e+03
4.325902378491100535e+03 3.389260634203249083e+03 2.883031986521099952e+03
4.325902378491100535e+03 3.389260634203249083e+03 2.719987027914466580e+03
4.325902378491100535e+03 3.389260634203249083e+03 2.571968406735054486e+03
4.325902378491100535e+03 3.389260634203249083e+03 2.415482588405079241e+03
4.325902378491100535e+03 3.389260634203249083e+03 2.240075544904858361e+03
4.325902378491100535e+03 3.389260634203249083e+03 2.048354209051336056e+03
4.325902378491100535e+03 3.093848283658054243e+03 3.093848283658054243e+03
4.325902378491100535e+03 3.093848283658054243e+03 2.883031986521099952e+03
4.325902378491100535e+03 3.093848283658054243e+03 2.719987027914466580e+03
4.325902378491100535e+03 3.093848283658054243e+03 2.571968406735054486e+03
4.325902378491100535e+03 3.093848283658054243e+03 2.415482588405079241e+03
4.325902378491100535e+03 3.093848283658054243e+03 2.240075544904858361e+03
4.325902378491100535e+03 3.093848283658054243e+03 2.048354209051336056e+03
4.325902378491100535e+03 2.883031986521099952e+03 2.883031986521099952e+03
4.325902378491100535e+03 2.883031986521099952e+03 2.719987027914466580e+03
4.325902378491100535e+03 2.883031986521099952e+03 2.571968406735054486e+03
4.325902378491100535e+03 2.883031986521099952e+03 2.415482588405079241e+03
4.325902378491100535e+03 2.883031986521099952e+03 2.240075544904858361e+03
